지번주소,사업장명
서울특별시 마포구 서교동 399-9,라운지목화 합정관
서울특별시 마포구 서교동 378-10 H 스퀘어,탭샵바 합정점
서울특별시 마포구 서교동 333-37,연남골목냉면
서울특별시 마포구 서교동 396-27,유아하
서울특별시 마포구 서교동 347-14,증증일상
서울특별시 마포구 서교동 368-12 S368빌딩,낙경
서울특별시 마포구 서교동 342-3,왕소야
서울특별시 마포구 서교동 355-25,잇스시
서울특별시 마포구 서교동 408-18 스페이스빌딩,호박꽃 홍대점
서울특별시 마포구 서교동 399-23 1층,해몽 마포점
서울특별시 마포구 서교동 407-16 1층,골목포차
서울특별시 마포구 서교동 331-17,역전할머니맥주 홍대입구역점
서울특별시 마포구 서교동 409-1 서교동빌딩,만선호프
서울특별시 마포구 서교동 364-23,달콤왕가탕후루 홍대1호점
서울특별시 마포구 서교동 403-4 DE빌딩,오늘하루
서울특별시 마포구 서교동 395-33,야타이 쇼부
서울특별시 마포구 서교동 325-2,감초통닭
서울특별시 마포구 서교동 395-69,그늘
서울특별시 마포구 서교동 364-26 지1층,지원
서울특별시 마포구 서교동 474-27,오소바텐
서울특별시 마포구 서교동 363-23,디스
서울특별시 마포구 서교동 369-36,카페 위밋데얼
서울특별시 마포구 서교동 411-12,개화당
서울특별시 마포구 서교동 394-25 동양한강트레벨,로타리
서울특별시 마포구 서교동 399-14,미지
서울특별시 마포구 서교동 395-17 예랑빌딩 1층,401
서울특별시 마포구 서교동 331-13,꽃게나라
서울특별시 마포구 서교동 395-23,단디
서울특별시 마포구 서교동 476-53,해주방
서울특별시 마포구 서교동 402-14 경일빌딩,쏘시지요
서울특별시 마포구 서교동 331-17,육전국밥 홍대점
서울특별시 마포구 서교동 346-33,와따분식 홍대점
서울특별시 마포구 서교동 363-21,너가술집사장
서울특별시 마포구 서교동 358-74,한월
서울특별시 마포구 서교동 401-6 2층,왔쏘 홍대점
서울특별시 마포구 서교동 400-23,88야키토리
서울특별시 마포구 서교동 411-12,김김포차
서울특별시 마포구 서교동 365-17 1층,미쉐
서울특별시 마포구 서교동 347-17,석
서울특별시 마포구 서교동 407-19,황포25
서울특별시 마포구 서교동 355-15 무광빌딩,일편장어
서울특별시 마포구 서교동 461-1,청운
서울특별시 마포구 서교동 402-4 지하1층,철인7호
"서울특별시 마포구 서교동 394-13 1층, 2층, 3층",지하102호 5호점
서울특별시 마포구 서교동 358-34,길상양꼬치
서울특별시 마포구 서교동 363-14,무청감자탕 홍대점
서울특별시 마포구 서교동 358-49,혼가츠
서울특별시 마포구 서교동 442-30 charis 빌딩,한상팔삼 우육미면
서울특별시 마포구 서교동 468-2,파스토보이 마포점
서울특별시 마포구 서교동 247-85,열정의선창
서울특별시 마포구 서교동 332-26,숨은꼬치
서울특별시 마포구 서교동 334-11,간바레미나상
서울특별시 마포구 서교동 402-2,힙하디
서울특별시 마포구 서교동 399-18 엘림빌라,동백상회 합정
서울특별시 마포구 서교동 331-4,우라난바
서울특별시 마포구 서교동 449-35,제이스피자
서울특별시 마포구 서교동 328-22,한솥도시락 홍대서교점
서울특별시 마포구 서교동 358-40,현우동 홍대
서울특별시 마포구 서교동 355-25,육현전 홍대직영점
서울특별시 마포구 서교동 395-178,언덕집
서울특별시 마포구 서교동 487,무무
서울특별시 마포구 서교동 346-40,블랭크
서울특별시 마포구 서교동 332-6,우물집
서울특별시 마포구 서교동 332-27,박서교숙성회
서울특별시 마포구 서교동 484-4,한본새 서교
서울특별시 마포구 서교동 362-2 서봉갤러리,대표분식
서울특별시 마포구 서교동 335-4,공간비틀즈
서울특별시 마포구 서교동 325-13,한량
서울특별시 마포구 서교동 401-4,오하이요
서울특별시 마포구 서교동 407-12,장모님 부대찌개
서울특별시 마포구 서교동 347-12,술쑤시개
서울특별시 마포구 서교동 358-96 포도빌딩,홍대물갈비 홍대본점
서울특별시 마포구 서교동 486 서교푸르지오,모모유부
서울특별시 마포구 서교동 355-32,상구네솥뚜껑삼겹살 홍대점
서울특별시 마포구 서교동 453-12,유알티
서울특별시 마포구 서교동 400-24,신서울전
서울특별시 마포구 서교동 447-7 대상빌딩,대서리
서울특별시 마포구 서교동 327-45,데이원
서울특별시 마포구 서교동 369-4 호곡빌딩,추파
서울특별시 마포구 서교동 363-11 홍석빌딩,슈퍼방구 홍대점
서울특별시 마포구 서교동 332-8,만휘군상
서울특별시 마포구 서교동 336-5,언플러그드
서울특별시 마포구 서교동 401-17,무제
서울특별시 마포구 서교동 395-28,선비다이닝
서울특별시 마포구 서교동 395-13,솥돈 홍대점
서울특별시 마포구 서교동 334-23,밍키친
서울특별시 마포구 서교동 407-20,불간짬뽕
서울특별시 마포구 서교동 464-62,우미토부
서울특별시 마포구 서교동 449-26 도경빌딩,소담촌
서울특별시 마포구 서교동 334-13,타코베이커
서울특별시 마포구 서교동 395-29,주락간
서울특별시 마포구 서교동 487 서교동 대우미래사랑,우리동네연탄고기
서울특별시 마포구 서교동 401-17,주도
서울특별시 마포구 서교동 464-28,나스 서교
서울특별시 마포구 서교동 399-26,불막열삼 합정점
서울특별시 마포구 서교동 351-1,육전국밥 서교점
서울특별시 마포구 서교동 378-2,오성국수
서울특별시 마포구 서교동 411-7,이크
서울특별시 마포구 서교동 363-19,무제 홍대점
서울특별시 마포구 서교동 404-6,톤토로
서울특별시 마포구 서교동 337-16,돼동여지도
서울특별시 마포구 서교동 331-8,홍대하녹
서울특별시 마포구 서교동 400-13,목벌
서울특별시 마포구 서교동 394-75,안목가돈
서울특별시 마포구 서교동 369-3 성화빌딩,홍대맛집 해삼
서울특별시 마포구 서교동 481-15 코람데오빌리지,담택
서울특별시 마포구 서교동 445-3 아도디아빌딩,스시이안앤 홍대입구역점
서울특별시 마포구 서교동 396-47,오로시
서울특별시 마포구 서교동 396-44,한라맥주 합정점
서울특별시 마포구 서교동 400-3,바코주막
서울특별시 마포구 서교동 494 서교동 효성 해링턴 타워,구복만두 홍대합정본사직영점
서울특별시 마포구 서교동 483-35 모드,오므상칼칼데스 합정본점
서울특별시 마포구 서교동 328-39,도란도란
서울특별시 마포구 서교동 411-9,록집
서울특별시 마포구 서교동 325-7,재지패티
서울특별시 마포구 서교동 441-4,역전우동0410 망원역점
서울특별시 마포구 서교동 400-13,이자카야 고도리
서울특별시 마포구 서교동 376-2,카가와
서울특별시 마포구 서교동 338-46,면식당 홍익대점
서울특별시 마포구 서교동 442-1 城廣빌딩,서부청기와감자탕 망원역점
서울특별시 마포구 서교동 332-5,멘타쿠
