지번주소,사업장명
서울특별시 마포구 서교동 494 서교동 효성 해링턴 타워,온복비빔국수
서울특별시 마포구 서교동 368-40,잔향
서울특별시 마포구 서교동 346-41,태초갈비
서울특별시 마포구 서교동 356-1,프레퍼스 다이어트 푸드 홍대직영점
서울특별시 마포구 서교동 334-18,헬로팬 홍대점
서울특별시 마포구 서교동 403-14,에이셉피자 홍대점
서울특별시 마포구 서교동 332-1,황금복돼지
서울특별시 마포구 서교동 396-31,안트로
서울특별시 마포구 서교동 442-4,성립
서울특별시 마포구 서교동 395-20,넨네
서울특별시 마포구 서교동 449-30 1층일부,송가네정육식당
서울특별시 마포구 서교동 331-4,오제키
서울특별시 마포구 서교동 396-61번지 ,블루먼데이
서울특별시 마포구 서교동 358-68,티퍼프
서울특별시 마포구 서교동 442-4,서울미트볼
서울특별시 마포구 서교동 358-121 철록헌,호요 홍대점
서울특별시 마포구 서교동 399-19,고엔
서울특별시 마포구 서교동 361-17,한성짬뽕
"서울특별시 마포구 서교동 400-6 1,2층",대동
서울특별시 마포구 서교동 407-19,퍼블릭
서울특별시 마포구 서교동 402-11,이츠야
서울특별시 마포구 서교동 465-2,바다애
서울특별시 마포구 서교동 355-5 홍대가자Ⅰ빌딩,테즈쿠리
서울특별시 마포구 서교동 404-8 2층,데스페라도
서울특별시 마포구 서교동 399-26,지하102호 3호점
서울특별시 마포구 서교동 396-32,해정집
서울특별시 마포구 서교동 399-27 1층,장미장
서울특별시 마포구 서교동 331-9,더6회
서울특별시 마포구 서교동 332-28,훌리건
서울특별시 마포구 서교동 476-32,잡을손
서울특별시 마포구 서교동 334-14,샤브로21 서교
서울특별시 마포구 서교동 396-36,먼로
서울특별시 마포구 서교동 363-21,킹케밥
서울특별시 마포구 서교동 358-38,타오
서울특별시 마포구 서교동 394-23,88노가리 합정점
서울특별시 마포구 서교동 346-21 1층 4호,비밥
서울특별시 마포구 서교동 333-23 디자인카운티,스아게 K
서울특별시 마포구 서교동 395-65 ,바코포차
서울특별시 마포구 서교동 396-61 동궁빌리지,호계 합정본점
서울특별시 마포구 서교동 336-23 ,바다생고기
서울특별시 마포구 서교동 402-17번지 ,도적
서울특별시 마포구 서교동 394-12 서교동빌딩,김숙성 합정점
서울특별시 마포구 서교동 370-2,홍대족발
서울특별시 마포구 서교동 476-26,피오리
서울특별시 마포구 서교동 362-15,꼬치록록
서울특별시 마포구 서교동 408-3,라루즈
서울특별시 마포구 서교동 364-28,육산장
서울특별시 마포구 서교동 405-14 ,북촌손만두 홍대로데오점
서울특별시 마포구 서교동 367-16번지 ,정든집
서울특별시 마포구 서교동 411-15,뉴욕버거
서울특별시 마포구 서교동 396-49,우미사치
서울특별시 마포구 서교동 333-29번지 ,히메시야
서울특별시 마포구 서교동 395-37 ,얼맥당 홍대카페거리점
서울특별시 마포구 서교동 358-39번지 ,홍대씨부엉
서울특별시 마포구 서교동 396-58번지 ,더쿠포차
서울특별시 마포구 서교동 351-16,들풀
서울특별시 마포구 서교동 395-29,만월당 합정점
서울특별시 마포구 서교동 358-57번지 ,오렌지
서울특별시 마포구 서교동 396-24,터틀탭스
서울특별시 마포구 서교동 402-5번지 1층 ,더피자보이즈
"서울특별시 마포구 서교동 458-22번지 외1필지 광남벨라스2차아파트 1층 104,105호",식신매운갈비찜
서울특별시 마포구 서교동 448-1 ,장독대
서울특별시 마포구 서교동 335-19번지 뉴빌503 ,모닭모닭
서울특별시 마포구 서교동 395-134번지 지하1층 ,하랑
서울특별시 마포구 서교동 459-7 서교 Central Town 서교센트럴타운,토리비
서울특별시 마포구 서교동 449-1 ,두찜 홍대입구역점
서울특별시 마포구 서교동 399-18 엘림빌라 ,나베공방
서울특별시 마포구 서교동 396-31,디껨
서울특별시 마포구 서교동 368-34 ,카츠하루 홍대점
서울특별시 마포구 서교동 442-29 ,이담쌀롱
서울특별시 마포구 서교동 334-21 ,시장냉면
서울특별시 마포구 서교동 395-18 지송재,금별맥주 홍대점
서울특별시 마포구 서교동 358-111 대유빌딩 ,루디스
서울특별시 마포구 서교동 481-10,오로촌
서울특별시 마포구 서교동 475-16 ,끼토
서울특별시 마포구 서교동 394-14 ,블랑루즈
서울특별시 마포구 서교동 395-36,우규
서울특별시 마포구 서교동 395-70,이양권반상
서울특별시 마포구 서교동 481-2 태복빌딩,한국피자헛 홍대서교점
서울특별시 마포구 서교동 332-27,화담
서울특별시 마포구 서교동 358-42 ,또보겠지떡볶이집 깐따삐아점
서울특별시 마포구 서교동 364-20 ,카페 꼬모
서울특별시 마포구 서교동 408-31 ,카페 라스플라미아
서울특별시 마포구 서교동 449-1 ,이모네
서울특별시 마포구 서교동 364-17 금광빌딩,다트플렉스
서울특별시 마포구 서교동 347-1,금별맥주 홍대입구역점
서울특별시 마포구 서교동 405-9,모이정
서울특별시 마포구 서교동 397-15번지 ,제이케이
서울특별시 마포구 서교동 486 서교푸르지오,모모유부 홍대
서울특별시 마포구 서교동 354-11 ,3일한우국밥
서울특별시 마포구 서교동 247-14,마포구이마당 서교직영점
서울특별시 마포구 서교동 465-9 ,서오릉피자 서교점
서울특별시 마포구 서교동 444-9 ,장수멸치국수
서울특별시 마포구 서교동 402-7,포리포리텐진
서울특별시 마포구 서교동 370-14 ,영빈
서울특별시 마포구 서교동 345-12 ,어리라운지
서울특별시 마포구 서교동 481-8 고니빌딩,한합
서울특별시 마포구 서교동 354-6,청기와타운
서울특별시 마포구 서교동 468-8 이지스빌딩,몽그로페페
서울특별시 마포구 서교동 466-20번지 ,서교가든숯불갈비
서울특별시 마포구 서교동 394-78 ,무니
서울특별시 마포구 서교동 366-4 ,토끼정
서울특별시 마포구 서교동 325-12 1층,최고집
서울특별시 마포구 서교동 459-7 1층일부 ,달빛소굴
"서울특별시 마포구 서교동 395-199 1층, 2층",허밍벨라
서울특별시 마포구 서교동 328-69번지 ,탐탐오향족발
서울특별시 마포구 서교동 358-68번지 1층일부 ,천사곱창
서울특별시 마포구 서교동 399-4 ,빼레
서울특별시 마포구 서교동 347-30 1층,누바
서울특별시 마포구 서교동 331-2,키즈나
서울특별시 마포구 서교동 404-8번지 3층 ,옥탑방 부엉이
서울특별시 마포구 서교동 328-69번지 1층 ,탐탐오향족발2
서울특별시 마포구 서교동 358-123,무쇠김치삼겹
서울특별시 마포구 서교동 328-62 지하1층,아씨시
서울특별시 마포구 서교동 403-3번지 B1층 ,섬마을
서울특별시 마포구 서교동 396-47 2층,아초바
서울특별시 마포구 서교동 401-12 3층 ,와인어클락
서울특별시 마포구 서교동 375-5번지 1층일부 ,시골순대
서울특별시 마포구 서교동 468-32번지 1층 ,육향
서울특별시 마포구 서교동 408-25 지1층일부,주문포차
서울특별시 마포구 서교동 331-2번지 1층 ,홍대 수족관
"서울특별시 마포구 서교동 392-14번지 1층,2층 ",주식회사로켓치킨
서울특별시 마포구 서교동 404-7 ,항방양꼬치
서울특별시 마포구 서교동 401-3 1층 ,바다포차
서울특별시 마포구 서교동 334-19,돈나무
서울특별시 마포구 서교동 327-17 지하2층 ,곱창전골
서울특별시 마포구 서교동 396-32 지1층 B01호,해정집
서울특별시 마포구 서교동 345-7 ,그남자의볶음밥
서울특별시 마포구 서교동 328-49번지 ,더파이브올스
서울특별시 마포구 서교동 396-28번지 1층일부 ,물고기초밥
서울특별시 마포구 서교동 352-28번지 1층 ,설맥 홍대서교점
서울특별시 마포구 서교동 346-46 지1층,통통돼지
서울특별시 마포구 서교동 331-7번지 1층 ,황소곱창
서울특별시 마포구 서교동 352-1 ,아리랑
서울특별시 마포구 서교동 369-4번지 호곡빌딩 5층 ,원나잇
서울특별시 마포구 서교동 327-20,고토히라우동
서울특별시 마포구 서교동 333-10번지 ,카페333
서울특별시 마포구 서교동 376-9번지 1층 일부 ,텃밭
"서울특별시 마포구 서교동 395-78 3,4층",시카고
서울특별시 마포구 서교동 396-58,대포막창 生 삼겹
서울특별시 마포구 서교동 332-5 ,쭌곱창
서울특별시 마포구 서교동 358-122번지 ,노라바라
서울특별시 마포구 서교동 328-12,모미모미 홍대본점
서울특별시 마포구 서교동 407-20번지 1층 ,깐부치킨
서울특별시 마포구 서교동 401-6 1층 ,몽주방
서울특별시 마포구 서교동 449-1번지 성지빌딩1층 104호 ,갯마을
서울특별시 마포구 서교동 328-26번지 ,애쉬앤블룸 1
서울특별시 마포구 서교동 479-8번지 1층 ,명품잔치국수집
서울특별시 마포구 서교동 354-8,옹다래찜닭.디저트
서울특별시 마포구 서교동 475-31번지 ,사이
서울특별시 마포구 서교동 394-20번지 ,통영박이충무김밥
서울특별시 마포구 서교동 333-16번지 ,마시타야
"서울특별시 마포구 서교동 394-45번지 명지한강빌드웰 1층 102,103,104,105호 ",마포오리농장
서울특별시 마포구 서교동 380-47번지 1층 ,몽마르뜨언덕
서울특별시 마포구 서교동 358-136 ,주섬주섬
서울특별시 마포구 서교동 325-26,와우끝집
서울특별시 마포구 서교동 391-17번지 1층 ,마포만두
서울특별시 마포구 서교동 345-6번지 ,포몬스 홍대점
서울특별시 마포구 서교동 347-9 ,마왕족발
서울특별시 마포구 서교동 346-39 ,맘대로 마라탕훠궈
서울특별시 마포구 서교동 402-8 서교빌딩 ,버켓크랩
서울특별시 마포구 서교동 449-43 1층,고랭
서울특별시 마포구 서교동 9-1번지 외1필지(9-6) 1층 ,식이네
서울특별시 마포구 서교동 358-49,혼가츠
서울특별시 마포구 서교동 363-28번지 ,플래닛
서울특별시 마포구 서교동 409-20,제순식당 홍대점
서울특별시 마포구 서교동 331-12 ,우리닭갈비
서울특별시 마포구 서교동 400-12번지 ,술개구리
서울특별시 마포구 서교동 395-111 ,베이스캠프
서울특별시 마포구 서교동 395-124번지 ,이치류
서울특별시 마포구 서교동 326-28번지 지하1층일부 ,턴테이블
서울특별시 마포구 서교동 481-5,평이담백 뼈칼국수
"서울특별시 마포구 서교동 407-8 2층,3층 ",고고스
"서울특별시 마포구 서교동 486번지 서교푸르지오 B118,B119,B120호 ",봉대박스파게티 홍대점
서울특별시 마포구 서교동 396-24번지 ,든든
서울특별시 마포구 서교동 366-13번지 2층 ,소고산제일루
서울특별시 마포구 서교동 361-3 Terra빌딩 지1층 ,닭꼬얌
서울특별시 마포구 서교동 399-24 2층,고수포차 본점
서울특별시 마포구 서교동 367-1 2층,나성타코 홍대점
서울특별시 마포구 서교동 330-26,야키토리나루토 홍대
서울특별시 마포구 서교동 376-5번지 1층동 ,시향
"서울특별시 마포구 서교동 358-62번지 1,2층 ",홍대 마포껍데기
서울특별시 마포구 서교동 327-45번지 1층 ,림가기
서울특별시 마포구 서교동 485-1,커피디지 합정점
서울특별시 마포구 서교동 347-9 101호,할머니가래떡볶이
서울특별시 마포구 서교동 366-26,타마고
서울특별시 마포구 서교동 346-2,춘리마라탕 홍대점
서울특별시 마포구 서교동 360-21 ,효봉포차
서울특별시 마포구 서교동 448-1번지 ,미미방
서울특별시 마포구 서교동 378-1번지 1층일부(102호) ,자성당
서울특별시 마포구 서교동 370-31번지 ,이모네
서울특별시 마포구 서교동 366-1 동천빌딩 1층,제주특별집
서울특별시 마포구 서교동 346-34 지하1층,비비리2
서울특별시 마포구 서교동 394-57번지 지하1층 ,마포소문난족발
서울특별시 마포구 서교동 392-32번지 삼이빌딩 1층 ,스시겐
서울특별시 마포구 서교동 396-21,쿠시카츠 오지상
서울특별시 마포구 서교동 346-36번지 ,하카타나카
서울특별시 마포구 서교동 395-79 지하1층 ,??DOPE)
서울특별시 마포구 서교동 357-2번지 1층 ,노루목황소곱창
서울특별시 마포구 서교동 407-25,온달집
서울특별시 마포구 서교동 411-12,샤브로21 상수역
서울특별시 마포구 서교동 369-4번지 ,에잇스톤스
서울특별시 마포구 서교동 358-29번지 ,르브와
서울특별시 마포구 서교동 351-18번지 ,조선화로구이
서울특별시 마포구 서교동 375-26번지 1층동 ,남북통일
서울특별시 마포구 서교동 345-26번지 2층 ,서교참치
서울특별시 마포구 서교동 404-14 SPACE,카레시
서울특별시 마포구 서교동 247-54번지 ,형제소머리국밥
서울특별시 마포구 서교동 355-15 무광빌딩,우주집
서울특별시 마포구 서교동 403-1번지 ,훼미리포차
서울특별시 마포구 서교동 402-13 1층 ,달봉비어
서울특별시 마포구 서교동 449-1 1층 ,네네치킨 서교점
서울특별시 마포구 서교동 366-2,돈주는남자
서울특별시 마포구 서교동 465-1번지 ,마츠에라멘
서울특별시 마포구 서교동 358-90번지 1층 ,원당감자탕
서울특별시 마포구 서교동 446-15,필프리 홍대본점
서울특별시 마포구 서교동 347-23 지하1층,쭈앤쭈
서울특별시 마포구 서교동 409-17,아웃닭 홍대점
"서울특별시 마포구 서교동 347-29번지 1,2층 ",신선화로
서울특별시 마포구 서교동 487 대우미래사랑 1층 101호(101-1) ,고기장인
서울특별시 마포구 서교동 394-93번지 ,종로빈대떡
서울특별시 마포구 서교동 343-13번지 1층 ,지로우 라멘
서울특별시 마포구 서교동 394-23 ,고향집김치삼겹살
서울특별시 마포구 서교동 394-90번지 외1필지 101호 ,다북어국
서울특별시 마포구 서교동 365-26번지 2층 ,큰맘할매순대국
서울특별시 마포구 서교동 358-95 ,향미
서울특별시 마포구 서교동 355-25 ,멘야산다이메
서울특별시 마포구 서교동 449-39번지 1층 ,정통호프
서울특별시 마포구 서교동 358-83번지 1층동 ,다락투
서울특별시 마포구 서교동 399-6 외1필지 101호,나루토 오모테나시
서울특별시 마포구 서교동 384-9,서래옥
서울특별시 마포구 서교동 364-6 ,코너펍 Corner Pub
서울특별시 마포구 서교동 368-7번지 지1층 ,멜로우
서울특별시 마포구 서교동 366-28 1층 ,민트하임
서울특별시 마포구 서교동 449-3번지 ,먹보식당
서울특별시 마포구 서교동 485-14번지 영진시장 1층 ,웰빙뚝배기
서울특별시 마포구 서교동 410-3번지 1층 ,디스틸
서울특별시 마포구 서교동 358-29 2층동,홍익수제비
서울특별시 마포구 서교동 327-43번지 1층일부 ,불나방
서울특별시 마포구 서교동 481-1,미스타교자
서울특별시 마포구 서교동 369-4번지 9층 ,길리건스
서울특별시 마포구 서교동 377-4번지 서교동 교평빌딩 ,해피벤처
서울특별시 마포구 서교동 327-22 1층 ,치킨인더키친
서울특별시 마포구 서교동 352-25 1층일부 ,이문어세상
서울특별시 마포구 서교동 380-12번지 ,합정구락부
서울특별시 마포구 서교동 494 ,멸치국수
서울특별시 마포구 서교동 327-46번지 지하1층 ,키오쿠
서울특별시 마포구 서교동 458-2번지 ,끼니꺼리
서울특별시 마포구 서교동 481-2번지 태복빌딩 102호,조박사복해장국
서울특별시 마포구 서교동 400-13번지 1층4호 ,형제상회
서울특별시 마포구 서교동 469-11 GLORY ,스시경
서울특별시 마포구 서교동 358-39번지 지하1층 ,카미야
서울특별시 마포구 서교동 446-60 1층 ,대청마루
서울특별시 마포구 서교동 461-8 1층,큐브
서울특별시 마포구 서교동 449-30번지 ,진짜루
서울특별시 마포구 서교동 367-36번지 ,작가
서울특별시 마포구 서교동 358-9 ,코코버블티 홍대메인거리점
서울특별시 마포구 서교동 440-3,또바기명태조림
서울특별시 마포구 서교동 400-3번지 지하1층 ,에이스보드카페
서울특별시 마포구 서교동 361-10,작심가
서울특별시 마포구 서교동 352-13,콰이찬 홍대점
서울특별시 마포구 서교동 358-40 지하1층 ,파파초밥
서울특별시 마포구 서교동 377-2 2층 ,언제라도 여행
서울특별시 마포구 서교동 331-4번지 지1층 오른쪽 ,헬로헬로
서울특별시 마포구 서교동 367-15번지 ,난봉꾼
서울특별시 마포구 서교동 361-12 ,삼거리포차
서울특별시 마포구 서교동 357-3번지 ,도마
서울특별시 마포구 서교동 347-18번지 2층 ,산띠
서울특별시 마포구 서교동 409-17번지 ,꼼보포차
서울특별시 마포구 서교동 480-9번지 지층 ,홍어한마리
서울특별시 마포구 서교동 346-51번지 ,신선마라탕
서울특별시 마포구 서교동 327-27번지 지층일부(우측) ,아틀란티스
서울특별시 마포구 서교동 386-10번지 ,향원정
서울특별시 마포구 서교동 335-4번지 ,토모토카레
서울특별시 마포구 서교동 358-68번지 ,그녀의밥상
서울특별시 마포구 서교동 396-30 ,이쪽
"서울특별시 마포구 서교동 444-2번지 1,2층 ",강화통통생고기
서울특별시 마포구 서교동 375-35,진진
서울특별시 마포구 서교동 368-30 지1층일부 ,산오징어양푼무침
서울특별시 마포구 서교동 346-46 1층,통통돼지뽈살
서울특별시 마포구 서교동 333-13 2층 ,홍익닭한마리
서울특별시 마포구 서교동 345-27,육쌈냉면
서울특별시 마포구 서교동 395-7번지 ,닭선생
서울특별시 마포구 서교동 400-22번지 ,빠넬로
"서울특별시 마포구 서교동 458-22번지 외1필지,광남벨라스2차아파트 102호",한스시
서울특별시 마포구 서교동 396-24번지 지1층일부 ,화규
서울특별시 마포구 서교동 483-9번지 ,수잔네
서울특별시 마포구 서교동 391-18 와와빌딩 ,세상끝의라멘
서울특별시 마포구 서교동 373-1번지 1층 ,보보호텔
서울특별시 마포구 서교동 338-18번지 지하1층 ,홍대 율촌
서울특별시 마포구 서교동 346-16번지 1층 ,오비야
서울특별시 마포구 서교동 345-20 2층,낭만포차
서울특별시 마포구 서교동 407-25,부엉이산장 홍대점2
서울특별시 마포구 서교동 386-10번지 1층 ,향원정
서울특별시 마포구 서교동 407-27,시장을여는사람들 홍대점
서울특별시 마포구 서교동 344-6 칼리오페 ,어머님밥상
서울특별시 마포구 서교동 342-16번지 1층일부 ,비스트로주라
서울특별시 마포구 서교동 345-20번지 1층 ,더 키친 아시아
서울특별시 마포구 서교동 408-17 (서교동408-16),낙원
서울특별시 마포구 서교동 384-10 ,제주삼다돈
서울특별시 마포구 서교동 355-1,신마포갈매기
서울특별시 마포구 서교동 382-21번지 1층 ,서교손칼국수
"서울특별시 마포구 서교동 460-8번지 1,2층 ",제주정원
서울특별시 마포구 서교동 382-8번지 ,타마시이
서울특별시 마포구 서교동 468-9 1층 ,서교김치찌개
서울특별시 마포구 서교동 407-25,부엉이산장 홍대점1
서울특별시 마포구 서교동 360-24번지 ,신주양꼬치
서울특별시 마포구 서교동 327-10 B1,봉주르
서울특별시 마포구 서교동 373-3번지 1층 ,퍼스트펭귄카페
서울특별시 마포구 서교동 345-15 ,비트윈
서울특별시 마포구 서교동 468-31번지 ,아지트
서울특별시 마포구 서교동 400-23,침사추이누들
서울특별시 마포구 서교동 379-15번지 1층 ,칼국수수제비가
서울특별시 마포구 서교동 405-9,디저트39
서울특별시 마포구 서교동 407-27,베리굿 노래타운 홍대점
서울특별시 마포구 서교동 358-71번지 ,포보
서울특별시 마포구 서교동 374-10번지 ,백년육일집
서울특별시 마포구 서교동 407-27,광동포차
서울특별시 마포구 서교동 393-12번지 ,문짱김밥
서울특별시 마포구 서교동 358-94번지 1층동 ,고집
서울특별시 마포구 서교동 360-10번지 ,플라워
서울특별시 마포구 서교동 399-9,스푼
서울특별시 마포구 서교동 361-9,쎄리네찜닭
서울특별시 마포구 서교동 345-13,공차 홍대점
서울특별시 마포구 서교동 397-10,리춘시장 합정역점
서울특별시 마포구 서교동 449-43,국일순대국
서울특별시 마포구 서교동 464-28,연가정
서울특별시 마포구 서교동 403-15,포킹94
서울특별시 마포구 서교동 404-24,야키토리 엔
서울특별시 마포구 서교동 401-1,별그리는바다
서울특별시 마포구 서교동 396-51,마실랭가이드
서울특별시 마포구 서교동 376-11 한국YMCA전국연맹빌딩,한소끔 가정식손만두
서울특별시 마포구 서교동 446-53,뚜또 페르 뚜띠
서울특별시 마포구 서교동 380-14 NFM빌딩,핏제리아오 합정역점
서울특별시 마포구 서교동 396-36 2층,다이닝 미야비
서울특별시 마포구 서교동 396-49,피그바
서울특별시 마포구 서교동 355-25,정이
서울특별시 마포구 서교동 378-1,커리지널
서울특별시 마포구 서교동 401-12,일일수작 홍대합정점
서울특별시 마포구 서교동 391-18 와와빌딩,럭키인디아
서울특별시 마포구 서교동 408-27 보리수빌딩,짬뽕지존 홍대점
서울특별시 마포구 서교동 363-9,용용선생 홍대점 1호점
서울특별시 마포구 서교동 385-15 1층,온리원갈비 합정
서울특별시 마포구 서교동 355-21,남도뽀글이
서울특별시 마포구 서교동 400-18,라뎅
서울특별시 마포구 서교동 446-46 B1층,도원
서울특별시 마포구 서교동 331-9,부야스곱창
서울특별시 마포구 서교동 330-39,토메루
서울특별시 마포구 서교동 360-18,홍대예티
서울특별시 마포구 서교동 494 서교동 효성 해링턴 타워,네비올로 합정
서울특별시 마포구 서교동 345-16,홍마떡
서울특별시 마포구 서교동 363-24,먼데이즈
서울특별시 마포구 서교동 405-10,마트마타
서울특별시 마포구 서교동 365-5,포옹남 홍대
서울특별시 마포구 서교동 345-12,어리라운지
서울특별시 마포구 서교동 396-46 에이치포빌딩,우마담
서울특별시 마포구 서교동 407-28,서교포차
서울특별시 마포구 서교동 332-35,비스트로세노
서울특별시 마포구 서교동 395-36,샴페인 슈퍼노바
서울특별시 마포구 서교동 396-31,상수동치맥
서울특별시 마포구 서교동 363-5,난장
서울특별시 마포구 서교동 459-5 1층,귀한족발 홍대서교점
서울특별시 마포구 서교동 333-10,카츠와
서울특별시 마포구 합정동 383-14,양화로 1984
서울특별시 마포구 합정동 368-27,델핀커피바
서울특별시 마포구 합정동 398-3,깃시리
서울특별시 마포구 합정동 427-7,라라본국
서울특별시 마포구 합정동 369-19,분담
