사업장명,Keyword_Review_Summary,Facility_Available,Parking_Available
몽주방,"{'""음식이 맛있어요""': 943, '""특별한 메뉴가 있어요""': 377, '""인테리어가 멋져요""': 340, '""친절해요""': 303}","['무선 인터넷', '단체 이용 가능', '예약', '남/녀 화장실 구분']",False
갯마을,"{'""음식이 맛있어요""': 79, '""가성비가 좋아요""': 32, '""친절해요""': 23, '""양이 많아요""': 23}",[],False
애쉬앤블룸 1,"{'""술이 다양해요""': 86, '""친절해요""': 68, '""인테리어가 멋져요""': 65, '""대화하기 좋아요""': 46}","['예약', '단체 이용 가능', '포장', '무선 인터넷', '유아시설 (놀이방)', '남/녀 화장실 구분']",False
명품잔치국수집,"{'""음식이 맛있어요""': 473, '""양이 많아요""': 173, '""가성비가 좋아요""': 166, '""친절해요""': 142}","['단체 이용 가능', '무선 인터넷']",False
옹다래찜닭.디저트,"{'""음식이 맛있어요""': 274, '""양이 많아요""': 117, '""매장이 넓어요""': 113, '""친절해요""': 94}","['콜키지 가능', '예약', '단체 이용 가능', '포장', '배달', '남/녀 화장실 구분']",False
사이,"{'""음식이 맛있어요""': 192, '""친절해요""': 84, '""특별한 메뉴가 있어요""': 53, '""대화하기 좋아요""': 53}","['예약', '무선 인터넷']",False
통영박이충무김밥,"{'""음식이 맛있어요""': 239, '""혼밥하기 좋아요""': 105, '""재료가 신선해요""': 61, '""친절해요""': 59}","['포장', '무선 인터넷', '예약', '반려동물 동반']",False
마시타야,"{'""음식이 맛있어요""': 282, '""혼밥하기 좋아요""': 165, '""특별한 메뉴가 있어요""': 119, '""친절해요""': 83}",[],False
마포오리농장,"{'""음식이 맛있어요""': 563, '""매장이 넓어요""': 258, '""고기 질이 좋아요""': 247, '""단체모임 하기 좋아요""': 219}","['콜키지 가능', '단체 이용 가능', '포장', '배달', '예약', '무선 인터넷', '남/녀 화장실 구분', '유아의자']",True
몽마르뜨언덕,"{'""음식이 맛있어요""': 53, '""재료가 신선해요""': 32, '""양이 많아요""': 31, '""반찬이 잘 나와요""': 28}",[],False
주섬주섬,"{'""음식이 맛있어요""': 54, '""친절해요""': 42, '""가성비가 좋아요""': 32, '""음악이 좋아요""': 31}","['무선 인터넷', '남/녀 화장실 구분']",False
와우끝집,"{'""음식이 맛있어요""': 125, '""재료가 신선해요""': 69, '""특별한 메뉴가 있어요""': 42, '""양이 많아요""': 27}","['콜키지 가능', '무선 인터넷', '남/녀 화장실 구분', '단체 이용 가능']",False
마포만두,"{'""음식이 맛있어요""': 645, '""가성비가 좋아요""': 326, '""혼밥하기 좋아요""': 304, '""친절해요""': 200}",[],False
포몬스 홍대점,"{'""음식이 맛있어요""': 193, '""친절해요""': 70, '""양이 많아요""': 67, '""매장이 넓어요""': 54}","['예약', '포장', '배달']",False
마왕족발,"{'""음식이 맛있어요""': 277, '""양이 많아요""': 110, '""고기 질이 좋아요""': 94, '""친절해요""': 89}","['포장', '배달', '예약', '무선 인터넷']",False
맘대로 마라탕훠궈,"{'""음식이 맛있어요""': 72, '""재료가 신선해요""': 27, '""가성비가 좋아요""': 18, '""양이 많아요""': 15}",['무한 리필'],False
버켓크랩,"{'""음식이 맛있어요""': 38, '""친절해요""': 34, '""특별한 메뉴가 있어요""': 21, '""재료가 신선해요""': 13}","['포장', '무선 인터넷', '배달', '단체 이용 가능', '반려동물 동반', '예약']",False
고랭,"{'""음식이 맛있어요""': 35, '""친절해요""': 20, '""양이 많아요""': 19, '""특별한 메뉴가 있어요""': 13}","['콜키지 가능', '단체 이용 가능', '포장', '무선 인터넷', '대기공간', '출입구 휠체어 이용가능', '좌석 휠체어 이용가능']",False
식이네,"{'""음식이 맛있어요""': 86, '""재료가 신선해요""': 36, '""가성비가 좋아요""': 36, '""친절해요""': 35}","['예약', '단체 이용 가능']",False
혼가츠,"{'""음식이 맛있어요""': 676, '""양이 많아요""': 223, '""가성비가 좋아요""': 213, '""친절해요""': 211}","['단체 이용 가능', '무선 인터넷', '남/녀 화장실 구분']",False
플래닛,"{'""음식이 맛있어요""': 55, '""친절해요""': 35, '""대화하기 좋아요""': 23, '""술이 다양해요""': 19}",[],False
제순식당 홍대점,"{'""음식이 맛있어요""': 220, '""가성비가 좋아요""': 99, '""친절해요""': 77, '""혼밥하기 좋아요""': 56}","['포장', '무선 인터넷', '예약']",False
우리닭갈비,"{'""음식이 맛있어요""': 287, '""가성비가 좋아요""': 139, '""친절해요""': 138, '""양이 많아요""': 92}",[],False
술개구리,"{'""술이 다양해요""': 36, '""음식이 맛있어요""': 35, '""친절해요""': 21, '""대화하기 좋아요""': 19}","['예약', '포장', '무선 인터넷', '단체 이용 가능']",False
베이스캠프,"{'""음식이 맛있어요""': 76, '""인테리어가 멋져요""': 35, '""매장이 넓어요""': 31, '""고기 질이 좋아요""': 30}","['예약', '단체 이용 가능', '무선 인터넷', '반려동물 동반', '남/녀 화장실 구분', '포장']",False
이치류,"{'""음식이 맛있어요""': 404, '""친절해요""': 198, '""고기 질이 좋아요""': 172, '""특별한 메뉴가 있어요""': 128}","['무선 인터넷', '남/녀 화장실 구분', '유아의자', '대기공간']",False
턴테이블,"{'""커피가 맛있어요""': 29, '""친절해요""': 25, '""인테리어가 멋져요""': 24, '""대화하기 좋아요""': 22}","['무선 인터넷', '반려동물 동반']",False
평이담백 뼈칼국수,"{'""음식이 맛있어요""': 912, '""양이 많아요""': 356, '""특별한 메뉴가 있어요""': 249, '""재료가 신선해요""': 213}","['포장', '남/녀 화장실 구분']",False
고고스,{},[],False
봉대박스파게티 홍대점,"{'""음식이 맛있어요""': 71, '""가성비가 좋아요""': 47, '""친절해요""': 43, '""양이 많아요""': 30}","['예약', '단체 이용 가능', '포장', '배달', '무선 인터넷', '남/녀 화장실 구분']",False
든든,"{'""음식이 맛있어요""': 67, '""술이 다양해요""': 40, '""특별한 메뉴가 있어요""': 30, '""대화하기 좋아요""': 29}","['예약', '무선 인터넷']",False
소고산제일루,"{'""음식이 맛있어요""': 118, '""재료가 신선해요""': 42, '""친절해요""': 38, '""특별한 메뉴가 있어요""': 34}","['예약', '단체 이용 가능', '포장', '무선 인터넷', '배달']",False
닭꼬얌,"{'""음식이 맛있어요""': 94, '""가성비가 좋아요""': 52, '""재료가 신선해요""': 34, '""양이 많아요""': 34}","['포장', '예약', '남/녀 화장실 구분']",False
고수포차 본점,"{'""음식이 맛있어요""': 65, '""친절해요""': 37, '""인테리어가 멋져요""': 27, '""양이 많아요""': 18}","['단체 이용 가능', '무선 인터넷', '반려동물 동반', '남/녀 화장실 구분']",False
나성타코 홍대점,"{'""음식이 맛있어요""': 733, '""친절해요""': 247, '""특별한 메뉴가 있어요""': 203, '""재료가 신선해요""': 200}","['무선 인터넷', '포장', '배달']",False
야키토리나루토 홍대,"{'""음식이 맛있어요""': 37, '""친절해요""': 27, '""특별한 메뉴가 있어요""': 13, '""매장이 청결해요""': 12}","['콜키지 가능', '예약', '단체 이용 가능', '무선 인터넷', '대기공간']",False
시향,"{'""음식이 맛있어요""': 170, '""친절해요""': 47, '""가성비가 좋아요""': 43, '""재료가 신선해요""': 38}","['포장', '무선 인터넷', '예약', '단체 이용 가능']",False
홍대 마포껍데기,"{'""음식이 맛있어요""': 91, '""고기 질이 좋아요""': 50, '""친절해요""': 38, '""가성비가 좋아요""': 26}","['예약', '단체 이용 가능', '무선 인터넷']",False
림가기,"{'""음식이 맛있어요""': 170, '""친절해요""': 78, '""특별한 메뉴가 있어요""': 67, '""재료가 신선해요""': 36}","['예약', '포장', '무선 인터넷', '배달']",False
커피디지 합정점,"{'""커피가 맛있어요""': 62, '""친절해요""': 55, '""가성비가 좋아요""': 40, '""대화하기 좋아요""': 25}",['무선 인터넷'],False
할머니가래떡볶이,"{'""음식이 맛있어요""': 178, '""양이 많아요""': 44, '""친절해요""': 32, '""가성비가 좋아요""': 31}","['포장', '방문접수/출장']",False
타마고,"{'""음식이 맛있어요""': 161, '""특별한 메뉴가 있어요""': 60, '""친절해요""': 50, '""재료가 신선해요""': 37}",[],False
춘리마라탕 홍대점,"{'""음식이 맛있어요""': 297, '""재료가 신선해요""': 203, '""양이 많아요""': 120, '""가성비가 좋아요""': 105}",[],False
효봉포차,"{'""음식이 맛있어요""': 100, '""특별한 메뉴가 있어요""': 58, '""친절해요""': 39, '""대화하기 좋아요""': 28}",[],False
미미방,"{'""음식이 맛있어요""': 78, '""가성비가 좋아요""': 39, '""친절해요""': 34, '""특별한 메뉴가 있어요""': 18}",[],False
자성당,"{'""음식이 맛있어요""': 390, '""특별한 메뉴가 있어요""': 128, '""양이 많아요""': 93, '""혼밥하기 좋아요""': 92}",['예약'],False
이모네,"{'""음식이 맛있어요""': 66, '""친절해요""': 23, '""양이 많아요""': 22, '""가성비가 좋아요""': 17}",[],False
제주특별집,"{'""음식이 맛있어요""': 396, '""고기 질이 좋아요""': 384, '""특별한 메뉴가 있어요""': 176, '""인테리어가 멋져요""': 154}","['단체 이용 가능', '예약', '남/녀 화장실 구분', '대기공간']",False
비비리2,"{'""음식이 맛있어요""': 121, '""재료가 신선해요""': 91, '""양이 많아요""': 87, '""가성비가 좋아요""': 87}","['포장', '예약', '무선 인터넷', '단체 이용 가능']",False
마포소문난족발,"{'""음식이 맛있어요""': 283, '""양이 많아요""': 85, '""가성비가 좋아요""': 71, '""친절해요""': 69}",[],False
스시겐,"{'""음식이 맛있어요""': 75, '""재료가 신선해요""': 51, '""친절해요""': 33, '""매장이 청결해요""': 31}",['예약'],False
쿠시카츠 오지상,"{'""음식이 맛있어요""': 172, '""친절해요""': 120, '""특별한 메뉴가 있어요""': 87, '""인테리어가 멋져요""': 65}","['콜키지 가능', '비건 메뉴', '생일 혜택', '유기농 메뉴', '예약', '대기공간', '무선 인터넷']",False
하카타나카,"{'""음식이 맛있어요""': 454, '""특별한 메뉴가 있어요""': 202, '""혼밥하기 좋아요""': 159, '""친절해요""': 149}","['포장', '무선 인터넷']",False
??DOPE),"{'""술이 다양해요""': 69, '""음악이 좋아요""': 62, '""인테리어가 멋져요""': 49, '""친절해요""': 42}","['콜키지 가능', '생일 혜택', '예약', '단체 이용 가능']",False
노루목황소곱창,"{'""음식이 맛있어요""': 340, '""친절해요""': 164, '""가성비가 좋아요""': 100, '""매장이 넓어요""': 60}","['단체 이용 가능', '무선 인터넷']",False
온달집,"{'""음식이 맛있어요""': 197, '""친절해요""': 48, '""특별한 메뉴가 있어요""': 37, '""양이 많아요""': 27}","['단체 이용 가능', '무선 인터넷', '남/녀 화장실 구분', '배달', '포장']",False
샤브로21 상수역,"{'""음식이 맛있어요""': 343, '""재료가 신선해요""': 234, '""가성비가 좋아요""': 194, '""혼밥하기 좋아요""': 158}",['무선 인터넷'],False
에잇스톤스,"{'""종류가 다양해요""': 49, '""가성비가 좋아요""': 32, '""독특한 디자인이 많아요""': 27, '""친절해요""': 24}",['무선 인터넷'],False
르브와,"{'""품질이 좋아요""': 131, '""종류가 다양해요""': 127, '""친절해요""': 123, '""가성비가 좋아요""': 106}","['예약', '무선 인터넷']",False
