id,size,road_address,name,latitude,longitude,phone,business_hours,review_count,facilities,parking,very_good,seat_info,menu,category
11,57.66,"서울특별시 마포구 와우산로17길 20 (서교동,1층)",골목포차,193019.4842,449800.2944,0507-1362-6949,화: 18:00 - 04:00; 수: 18:00 - 04:00; 목: 18:00 - 05:00; 금: 17:00 - 06:00; 토: 17:00 - 06:00; 일: 18:00 - 04:00; 월: 18:00 - 04:00,65,"['생일 혜택', '남/녀 화장실 구분', '예약', '단체 이용 가능', '반려동물 동반', '무선 인터넷', '노키즈존', '대기공간', '좌석 휠체어 이용가능']",주차 불가,"[['""음식이 맛있어요""', 64], ['""가성비가 좋아요""', 44], ['""친절해요""', 33], ['""음악이 좋아요""', 31]]","['테라스', '연인석', '1인석']","[[""차돌 순두부찌개"", 21900]]",중식
12,202.2,"서울특별시 마포구 어울마당로 140, 2층 (서교동)",역전할머니맥주 홍대입구역점,193357.5838,450430.0744,02-322-1982,,195,[],,"[['""음식이 맛있어요""', 206], ['""가성비가 좋아요""', 121], ['""기본 안주가 좋아요""', 101], ['""술이 다양해요""', 67]]",[],"[[""버터구이 오징어입"", null], [""먹태"", null], [""튀김 쥐포"", null], [""할멘보샤"", null], [""갈릭빠다포테이토"", null], [""30cm 롱치즈돈까스"", null], [""순살 치킨"", null], [""콘치즈그라탕"", null], [""짜빠구리"", null], [""불짬뽕탕"", null], [""모듬 소세지"", null], [""염통 꼬치"", null], [""치즈 라볶이"", null], [""바지락순두부"", null], [""살얼음파인애플"", null], [""어묵탕"", null]]",한식
13,143.38,"서울특별시 마포구 와우산로17길 15, 서교동빌딩 1층 (서교동)",만선호프,193047.5088,449757.4822,0507-1360-1803,화: 17:00 - 08:00; 수: 17:00 - 08:00; 목: 17:00 - 08:00; 금: 17:00 - 09:00; 토: 17:00 - 09:00; 일: 17:00 - 08:00; 월: 17:00 - 08:00,146,"['남/녀 화장실 구분', '단체 이용 가능', '예약', '반려동물 동반']",,"[['""음식이 맛있어요""', 100], ['""음악이 좋아요""', 63], ['""단체모임 하기 좋아요""', 62], ['""가성비가 좋아요""', 51]]",[],"[[""을지로골뱅이"", 28000], [""닭볶음탕"", 28000], [""부대찌개"", 28000], [""뚝배기불고기"", 25000], [""후라이드치킨"", 19000], [""마늘치킨"", 20000], [""삼겹볶음김치"", 26000], [""돼지김치찌개"", 24000], [""해물짬뽕탕"", 24000], [""제육볶음"", 21000], [""낙지소면"", 21000], [""치즈무뼈닭발"", 22000], [""오뎅탕"", 21000], [""노가리황태"", 1500], [""설탕토마토"", 8000], [""해물라면"", 10000], [""번데기탕"", 10000], [""파인샤베트"", 10000], [""황도"", 10000], [""쥐포"", 10000], [""아귀포"", 10000]]",양식
14,35,"서울특별시 마포구 어울마당로 80, 1층 102호 (서교동)",달콤왕가탕후루 홍대1호점,193010.1328,449987.6045,,,49,[],,"[['""디저트가 맛있어요""', 47], ['""친절해요""', 10], ['""특별한 메뉴가 있어요""', 9], ['""가성비가 좋아요""', 5]]",[],[],한식
15,60,"서울특별시 마포구 독막로9길 38, DE빌딩 1층 101호 (서교동)",오늘하루,192914.5744,449736.6509,0507-1411-5548,,135,"['단체 이용 가능', '예약', '무선 인터넷']",,"[['""음식이 맛있어요""', 126], ['""기본 안주가 좋아요""', 83], ['""술이 다양해요""', 63], ['""친절해요""', 63]]",[],"[[""불떡볶이"", 23000], [""블랙타이거새우구이"", 38000], [""리코타치즈셀러드"", 16000], [""스피모듬이묵탕"", 23000], [""해물라면"", 8000], [""열무국수"", 8000], [""코코넛샤베트"", 9000], [""파인애플샤베트"", 7000], [""리코타치즈샐러드"", 16000], [""갈릭꿀모짜렐라피자"", 16000], [""바싹불고기샐러드"", 23000], [""LA갈비와 아스파라거스구이"", 33000], [""모듬마른안주"", 16000], [""통오징어버터구이"", 18000], [""해물누룽지탕"", 23000], [""통낙지해물알탕"", 26000], [""킹블랙타이거 새우구이"", 38000], [""해물떡볶이"", 23000], [""문어새우관자 갈릭버터구이"", 26000]]",한식
16,47,"서울특별시 마포구 독막로3길 23, 1층 (서교동)",야타이 쇼부,192590.67,449687.1233,0507-1439-9040,화: 17:00 - 01:30; 수: 17:00 - 01:30; 목: 17:00 - 01:30; 금: 17:00 - 03:00; 토: 17:00 - 03:00; 일: 17:00 - 01:30; 월: 17:00 - 01:30,152,"['생일 혜택', '콜키지 가능', '예약', '단체 이용 가능', '무선 인터넷']",주차 불가,"[['""음식이 맛있어요""', 145], ['""기본 안주가 좋아요""', 64], ['""인테리어가 멋져요""', 62], ['""술이 다양해요""', 57]]","['단체석', '바테이블', '연인석', '1인석']","[[""카사바칩"", 2900], [""오이무침"", 3900], [""은행볶음"", 3900], [""얼음황도"", 4900], [""감자사라다"", 5900], [""창란크림치즈"", 6900], [""닭껍질튀김"", 6900], [""모찌리도후"", 7900], [""파인애플샤베트"", 7900], [""문어소세지"", 7900], [""교자구이"", 7900], [""닭염통볶음"", 8900], [""명란계란말미"", 8900], [""모뎀한접시"", 9900], [""야끼소바"", 16000], [""치킨가라마게"", 15000], [""명란계란말이"", 16000], [""게살크림고로케"", 14000], [""우삼겹숙주볶음"", 14000], [""모둠꼬치 5종"", 16000]]",한식
17,27,"서울특별시 마포구 와우산로 162-4, 지층 102호 (서교동)",감초통닭,193810.1096,450325.7658,0507-1340-3007,,68,"['테이크아웃 할인', '배달', '포장', '무선 인터넷', '예약', '대기공간']",주차 불가,"[['""음식이 맛있어요""', 71], ['""친절해요""', 31], ['""재료가 신선해요""', 23], ['""가성비가 좋아요""', 23]]",['테라스'],[],양식
18,79.84,"서울특별시 마포구 독막로3길 33-3, 지1층 (서교동)",그늘,192604.7245,449730.5021,0507-1341-8480,화: 15:30 - 02:00; 수: 15:30 - 02:00; 목: 15:30 - 02:00; 금: 15:30 - 02:00; 토: 14:30 - 02:00; 일: 15:30 - 02:00; 월: 15:30 - 02:00,741,"['콜키지 가능', '단체 이용 가능', '무선 인터넷', '예약', '반려동물 동반']",주차 불가,"[['""음식이 맛있어요""', 715], ['""술이 다양해요""', 388], ['""인테리어가 멋져요""', 344], ['""기본 안주가 좋아요""', 325]]",[],"[[""감태육회"", 28000], [""보쌈"", 32000], [""김치찜"", 30000], [""미나리새우전"", 20000], [""김치전"", 18000], [""닭목살과 닭껍질 볶음"", 20000], [""대패삼겹비빔국수"", 20000], [""얼큰조개탕"", 25000], [""명란두부탕"", 25000], [""곶감크림치즈"", 12000], [""유자토마토"", 8000], [""미나리조개탕"", 25000], [""불고기피자감자전"", 20000], [""들기름막국수"", 13000], [""뻥튀기아이스크림"", 7000], [""청어알비빔빕"", 15000], [""육회비빔밥"", 15000], [""명란비빔밥"", 8000], [""불고기또띠아쌈"", 23000], [""투움바 감자수제비"", 23000]]",한식
19,91.67,"서울특별시 마포구 월드컵로14길 56, 2층 (서교동)",오소바텐,192287.901,450480.4956,02-336-5485,화: 11:00 - 21:00; 수: 11:00 - 21:00; 목: 11:00 - 21:00; 금: 11:00 - 21:00; 토: 11:00 - 21:00; 일: 11:00 - 21:00; 월: 11:00 - 21:00,42,['출입구 휠체어 이용가능'],주차 불가,"[['""음식이 맛있어요""', 50], ['""특별한 메뉴가 있어요""', 29], ['""재료가 신선해요""', 23], ['""친절해요""', 17]]",[],"[[""냉츠케소바(200g)"", 12000], [""새우츠케소바(200g)"", 13000], [""농후츠케소바(200g)"", 14000]]",일식
20,118.04,"서울특별시 마포구 와우산로19길 11 (서교동, 지하1층)",디스,193079.8584,449877.5916,0507-1354-7090,화: 19:00 - 04:00; 수: 19:00 - 04:00; 목: 19:00 - 04:00; 금: 19:00 - 05:00; 토: 19:00 - 05:00; 일: 19:00 - 04:00; 월: 19:00 - 04:00,32,"['무선 인터넷', '남/녀 화장실 구분', '단체 이용 가능']",,"[['""술이 다양해요""', 14], ['""친절해요""', 13], ['""음악이 좋아요""', 11], ['""가성비가 좋아요""', 10]]",[],"[[""조니워커블랙"", null], [""치즈스틱"", null], [""감자튀김"", null], [""나초"", null], [""치킨텐더"", null], [""오렌지주스"", null], [""크랜베리주스"", null], [""롱아일랜드아이스티"", null]]",양식
21,103.26,"서울특별시 마포구 양화로16길 30 (서교동, 3층)",카페 위밋데얼,192961.7005,450075.9373,0507-1328-7842,화: 정기휴무 (매주 화요일); 수: 12:00 - 20:00; 목: 12:00 - 20:00; 금: 12:00 - 20:00; 토: 12:00 - 20:00; 일: 12:00 - 20:00; 월: 정기휴무 (매주 월요일),346,"['단체 이용 가능', '포장', '무선 인터넷', '반려동물 동반', '예약', '방문접수/출장']",주차 불가,"[['""음료가 맛있어요""', 210], ['""커피가 맛있어요""', 171], ['""친절해요""', 170], ['""디저트가 맛있어요""', 144]]",[],"[[""초코 퍼지 라떼"", 6500], [""크림라떼"", 6500], [""말차라떼"", 6000], [""딸기라떼"", 6500], [""메론소다"", 6500]]",양식
22,85.5,"서울특별시 마포구 와우산로15길 49, 2층 좌측, 3층 (서교동)",개화당,192943.9915,449600.9201,,화: 정기휴무 (매주 화요일); 수: 정기휴무 (매주 수요일); 목: 정기휴무 (매주 목요일); 금: 18:00 - 04:00; 토: 18:00 - 04:00; 일: 정기휴무 (매주 일요일); 월: 정기휴무 (매주 월요일),123,"['반려동물 동반', '남/녀 화장실 구분', '단체 이용 가능']",주차 불가,"[['""음식이 맛있어요""', 115], ['""술이 다양해요""', 67], ['""음악이 좋아요""', 61], ['""인테리어가 멋져요""', 56]]","['테라스', '루프탑', '바테이블', '좌식', '1인석', '입식', '연인석']","[[""스지오뎅탕"", 24000], [""통목살김치찌개"", 22000], [""떠먹는두부김치"", 22000], [""야끼소바"", 19000], [""가라아게"", 12000], [""닭교자"", 8000], [""닭껍질튀김"", 8000], [""감자튀김"", 7000], [""새우튀김"", 6000], [""소세지치즈"", 6000], [""바나나뷔렐레"", 6000], [""얼린포도"", 5000], [""크리미번"", 4000], [""마쉬멜로구이"", 1000], [""생맥주"", 6000], [""꿀맥주"", 8000], [""소주"", 5000], [""항정볶음(타래, 매콤)"", 24000], [""순살백숙"", 22000]]",주점
23,31.16,"서울특별시 마포구 양화로 56, 동양한강트레벨 지1층 B103-2호 (서교동)",로타리,192402.4686,449701.625,,화: 정기휴무 (매주 화요일); 수: 정기휴무 (매주 수요일); 목: 정기휴무 (매주 목요일); 금: 정기휴무 (매주 금요일); 토: 정기휴무 (매주 토요일); 일: 10:00 - 22:00; 월: 정기휴무 (매주 월요일),114,"['무선 인터넷', '남/녀 화장실 구분']",,"[['""음식이 맛있어요""', 96], ['""친절해요""', 53], ['""특별한 메뉴가 있어요""', 43], ['""술이 다양해요""', 41]]",[],[],일식
24,98.9,"서울특별시 마포구 독막로5길 33, 2층 (서교동)",미지,192731.5038,449689.3189,0507-1436-4015,수: 17:00 - 21:00; 목: 17:00 - 21:00; 금: 17:00 - 21:00; 토: 13:00 - 21:00; 일: 13:00 - 21:00; 월: 17:00 - 21:00; 화: 17:00 - 21:00,657,"['생일 혜택', '콜키지 가능', '예약', '무선 인터넷', '단체 이용 가능']",주차 불가,"[['""음식이 맛있어요""', 524], ['""친절해요""', 354], ['""재료가 신선해요""', 260], ['""특별한 날 가기 좋아요""', 250]]",[],"[[""미지코스1인"", 79000]]",한식
25,132,"서울특별시 마포구 잔다리로 23, 1층 (서교동, 예랑빌딩)",401,192878.7278,449832.7663,02-325-0805,,208,"['예약', '단체 이용 가능', '무선 인터넷', '남/녀 화장실 구분']",주차 불가,"[['""음식이 맛있어요""', 176], ['""친절해요""', 72], ['""고기 질이 좋아요""', 52], ['""매장이 넓어요""', 30]]",[],"[[""제주 목살 (180g)"", 15000], [""꽃삼겹 (400g)"", 39000], [""꽃목살 (300g)"", 23000], [""차돌박이 (150g)"", 15000], [""양념갈비 (250g)"", 14000]]",한식
26,80.28,"서울특별시 마포구 어울마당로 136-3, 2층 (서교동)",꽃게나라,193326.1843,450419.0731,02-332-6548,,163,"['포장', '남/녀 화장실 구분', '무선 인터넷', '예약']",,"[['""음식이 맛있어요""', 155], ['""재료가 신선해요""', 108], ['""친절해요""', 95], ['""양이 많아요""', 74]]",[],"[[""간장게장정식(대)"", 38000], [""꽃게탕"", 65000], [""닭볶음"", 32000], [""삼계탕"", 16000], [""양념게장"", 29000], [""닭한마리칼국수"", 32000], [""묵은지 닭볶음"", 37000], [""전복삼계탕"", 24000]]",한식
27,95,"서울특별시 마포구 독막로7길 45, 2층 (서교동)",단디,192824.2387,449733.7188,0507-1316-7757,화: 18:00 - 01:00; 수: 18:00 - 01:00; 목: 18:00 - 01:00; 금: 18:00 - 02:00; 토: 17:00 - 02:00; 일: 17:00 - 24:00; 월: 18:00 - 01:00,331,"['생일 혜택', '단체 이용 가능', '예약', '무선 인터넷', '대기공간']",주차 불가,"[['""음식이 맛있어요""', 317], ['""인테리어가 멋져요""', 140], ['""대화하기 좋아요""', 128], ['""기본 안주가 좋아요""', 117]]","['단체석', '카운터석', '좌식', '바테이블', '테라스', '1인석']","[[""차돌묵은지 파스타"", 24000], [""냉수육"", 24000], [""대패전골"", 24000], [""묵은지전골"", 24000], [""짜투게티"", 10000], [""오겹 깐풍육"", 24000], [""갈릭 트러플 감자튀김"", 9000], [""마라차돌전골"", 25000], [""만두 전골"", 19000], [""고기가 더 많은 두부김치"", 18000], [""차돌숙주볶음"", 20000], [""어묵탕"", 17000], [""김치전"", 9900], [""참치마요 크래커"", 6000], [""아이스홍시"", 4000], [""단디 육회"", 18000], [""차돌 순두부 파스타"", 24000], [""꿀 막걸리 하이볼"", 8000], [""짐빔 하이볼 진저/토닉"", 7000]]",한식
28,51,"서울특별시 마포구 월드컵로10길 27, 1층 101호 (서교동)",해주방,192249.2288,450313.7221,0507-1315-6705,화: 11:30 - 23:00; 수: 11:30 - 23:00; 목: 11:30 - 23:00; 금: 11:30 - 23:00; 토: 정기휴무 (매주 토요일); 일: 정기휴무 (매주 일요일); 월: 11:30 - 23:00,79,[],,"[['""음식이 맛있어요""', 113], ['""재료가 신선해요""', 44], ['""친절해요""', 37], ['""혼밥하기 좋아요""', 32]]",[],"[[""고등어 덮밥"", 12000], [""베이컨 김치 볶음밥"", 10000], [""명란 마요 덮밥"", 13000], [""떡갈비 덮밥"", 16000], [""가지 마라 덮밥"", 16000], [""타마고 카츠"", 10000], [""마라 오이"", 6000], [""떡갈비 롤"", 13000], [""두부야 가지 마라"", 16000]]",일식
29,44.46,"서울특별시 마포구 독막로9길 14, 경일빌딩 1층 (서교동)",쏘시지요,192852.1286,449634.9122,0507-1336-7946,화: 17:00 - 02:00; 수: 17:00 - 02:00; 목: 17:00 - 02:00; 금: 17:00 - 02:00; 토: 17:00 - 02:00; 일: 17:00 - 02:00; 월: 17:00 - 02:00,166,"['단체 이용 가능', '예약', '무선 인터넷']",주차 불가,"[['""음식이 맛있어요""', 151], ['""가성비가 좋아요""', 117], ['""인테리어가 멋져요""', 49], ['""친절해요""', 46]]",['단체석'],"[[""닭날개튀김"", 990], [""오사카쏘시지"", 2900], [""닭껍질꼬치"", 1500], [""오꼬노미야끼"", 9900], [""치킨가라아게"", 9000], [""유린기"", 9500], [""명란마요구이"", 8000], [""야끼소면"", 11000], [""소스듬뿍새우튀김"", 6500], [""염통꼬치"", 5500], [""김치볶음밥"", 6900], [""고르곤피자"", 12000], [""먹태"", 12900], [""나가사키 짬뽕탕"", 13000], [""바지락탕"", 9900], [""오뎅탕"", 10900], [""국물떡볶이"", 9900], [""새우튀김우동"", 7000], [""생맥주"", 1900], [""하이볼/사케하이볼"", 4900]]",일식
30,131.14,"서울특별시 마포구 어울마당로 140, 1층 (서교동)",육전국밥 홍대점,193357.5838,450430.0744,02-336-2275,,271,"['단체 이용 가능', '포장', '배달', '무선 인터넷', '남/녀 화장실 구분']",주차 불가,"[['""음식이 맛있어요""', 319], ['""양이 많아요""', 95], ['""가성비가 좋아요""', 91], ['""재료가 신선해요""', 86]]","['1인석', '입식', '바테이블']","[[""소고기육전 (소)"", 15000], [""해물파전"", 18000], [""치즈해물파전"", 20000], [""모둠전"", 28000], [""깻잎전"", 15000], [""소불고기전골 (2인)"", 28000], [""소곱창전골 (중)"", 38000], [""소고기국밥정식"", 15500], [""육전소고기국밥"", 10000], [""소고기국밥"", 9000], [""오징어초무침"", 20000], [""미소곰탕정식"", 16500], [""물막국수정식"", 15500], [""비빔막국수정식"", 15500], [""함박곰탕"", 15000], [""미소곰탕"", 10000], [""육전물막국수"", 10000], [""육전비빔막국수"", 10000], [""육전모둠전골 (중)"", 35000], [""소고기완자"", 15000], [""육전완자반반"", 20000]]",한식
31,92,"서울특별시 마포구 와우산로23길 42, 1층 (서교동)",와따분식 홍대점,193186.2433,450271.8837,0507-1363-3047,,234,"['배달', '포장', '무선 인터넷']",주차 불가,"[['""음식이 맛있어요""', 213], ['""재료가 신선해요""', 73], ['""가성비가 좋아요""', 73], ['""혼밥하기 좋아요""', 69]]","['좌식', '바테이블', '입식']","[[""투게더 세트"", 12500], [""트리플 세트"", 15500], [""콰트로세트 세트"", 19500], [""패밀리 세트"", 25500], [""라면세트"", 8500], [""덮밥세트"", 8500], [""우동세트"", 10500], [""쫄면세트"", 10500], [""와따 돈까스"", 7500], [""맵맵떡볶이"", 4500], [""맵달떡볶이"", 4500], [""순대"", 5000], [""삶은계란"", 1000], [""부산어묵 (3개)"", 3000], [""튀김세트 (소)"", 3800], [""돈까스 덮밥"", 8000], [""모둠 튀김 덮밥"", 8000], [""불제육 덮밥"", 8500], [""직화 불고기 덮밥"", 8500], [""샐러드김밥"", 3800], [""와따계란김밥"", 4500]]",한식
32,107.7,"서울특별시 마포구 와우산로19길 19, 2층 (서교동)",너가술집사장,193040.2828,449882.2149,0507-1318-9046,화: 17:00 - 03:00; 수: 17:00 - 05:00; 목: 17:00 - 05:00; 금: 17:00 - 06:00; 토: 17:00 - 06:00; 일: 17:00 - 05:00; 월: 17:00 - 05:00,646,"['무선 인터넷', '남/녀 화장실 구분', '단체 이용 가능', '장애인 주차구역']",,"[['""음식이 맛있어요""', 588], ['""기본 안주가 좋아요""', 363], ['""술이 다양해요""', 282], ['""특별한 메뉴가 있어요""', 248]]",[],"[[""김치찌개"", 15900], [""매콤크림감바스"", 14900], [""꼬치 어묵탕"", 13900], [""참치순두부찌개"", 14900], [""교자만두"", 10900], [""떡갈비"", 10900], [""오돌뼈"", 14900], [""치킨윙&봉"", 14900]]",주점
