지번주소,사업장명,Processed,메뉴
서울특별시 마포구 서교동 407-16 1층,골목포차,Yes,"[['차돌 순두부찌개', 21900]]"
서울특별시 마포구 서교동 331-17,역전할머니맥주 홍대입구역점,,
서울특별시 마포구 서교동 409-1 서교동빌딩,만선호프,Yes,"[['을지로골뱅이', 28000], ['닭볶음탕', 28000], ['부대찌개', 28000], ['뚝배기불고기', 25000], ['후라이드치킨', 19000], ['마늘치킨', 20000], ['삼겹볶음김치', 26000], ['돼지김치찌개', 24000], ['해물짬뽕탕', 24000], ['제육볶음', 21000], ['낙지소면', 21000], ['치즈무뼈닭발', 22000], ['오뎅탕', 21000], ['노가리황태', 1500], ['설탕토마토', 8000], ['해물라면', 10000], ['번데기탕', 10000], ['파인샤베트', 10000], ['황도', 10000], ['쥐포', 10000], ['아귀포', 10000]]"
서울특별시 마포구 서교동 364-23,달콤왕가탕후루 홍대1호점,,
서울특별시 마포구 서교동 403-4,오늘하루,Yes,"[['불떡볶이', 23000], ['블랙타이거새우구이', 38000], ['리코타치즈셀러드', 16000], ['스피모듬이묵탕', 23000], ['해물라면', 8000], ['열무국수', 8000], ['코코넛샤베트', 9000], ['파인애플샤베트', 7000], ['리코타치즈샐러드', 16000], ['갈릭꿀모짜렐라피자', 16000], ['바싹불고기샐러드', 23000], ['LA갈비와 아스파라거스구이', 33000], ['모듬마른안주', 16000], ['통오징어버터구이', 18000], ['해물누룽지탕', 23000], ['통낙지해물알탕', 26000], ['킹블랙타이거 새우구이', 38000], ['해물떡볶이', 23000], ['문어새우관자 갈릭버터구이', 26000]]"
서울특별시 마포구 서교동 395-33,야타이 쇼부,Yes,"[['카사바칩', 2900], ['오이무침', 3900], ['은행볶음', 3900], ['얼음황도', 4900], ['감자사라다', 5900], ['창란크림치즈', 6900], ['닭껍질튀김', 6900], ['모찌리도후', 7900], ['파인애플샤베트', 7900], ['문어소세지', 7900], ['교자구이', 7900], ['닭염통볶음', 8900], ['명란계란말미', 8900], ['모뎀한접시', 9900], ['야끼소바', 16000], ['치킨가라마게', 15000], ['명란계란말이', 16000], ['게살크림고로케', 14000], ['우삼겹숙주볶음', 14000], ['모둠꼬치 5종', 16000]]"
서울특별시 마포구 서교동 325-2,감초통닭,Yes,[]
서울특별시 마포구 서교동 395-69,그늘,Yes,"[['감태육회', 28000], ['보쌈', 32000], ['김치찜', 30000], ['미나리새우전', 20000], ['김치전', 18000], ['닭목살과 닭껍질 볶음', 20000], ['대패삼겹비빔국수', 20000], ['얼큰조개탕', 25000], ['명란두부탕', 25000], ['곶감크림치즈', 12000], ['유자토마토', 8000], ['미나리조개탕', 25000], ['불고기피자감자전', 20000], ['들기름막국수', 13000], ['뻥튀기아이스크림', 7000], ['청어알비빔빕', 15000], ['육회비빔밥', 15000], ['명란비빔밥', 8000], ['불고기또띠아쌈', 23000], ['투움바 감자수제비', 23000]]"
서울특별시 마포구 서교동 364-26,지원,,
서울특별시 마포구 서교동 474-27,오소바텐,Yes,"[['냉츠케소바(200g)', 12000], ['새우츠케소바(200g)', 13000], ['농후츠케소바(200g)', 14000]]"
서울특별시 마포구 서교동 363-23,디스,Yes,"[['조니워커블랙', None], ['치즈스틱', None], ['감자튀김', None], ['나초', None], ['치킨텐더', None], ['오렌지주스', None], ['크랜베리주스', None], ['롱아일랜드아이스티', None]]"
서울특별시 마포구 서교동 369-36,카페 위밋데얼,Yes,"[['초코 퍼지 라떼', 6500], ['크림라떼', 6500], ['말차라떼', 6000], ['딸기라떼', 6500], ['메론소다', 6500]]"
서울특별시 마포구 서교동 411-12,개화당,Yes,"[['스지오뎅탕', 24000], ['통목살김치찌개', 22000], ['떠먹는두부김치', 22000], ['야끼소바', 19000], ['가라아게', 12000], ['닭교자', 8000], ['닭껍질튀김', 8000], ['감자튀김', 7000], ['새우튀김', 6000], ['소세지치즈', 6000], ['바나나뷔렐레', 6000], ['얼린포도', 5000], ['크리미번', 4000], ['마쉬멜로구이', 1000], ['생맥주', 6000], ['꿀맥주', 8000], ['소주', 5000], ['항정볶음(타래, 매콤)', 24000], ['순살백숙', 22000]]"
서울특별시 마포구 서교동 394-25,로타리,,
서울특별시 마포구 서교동 399-14,미지,Yes,"[['미지코스1인', 79000]]"
서울특별시 마포구 서교동 395-17,401,Yes,"[['제주 목살 (180g)', 15000], ['꽃삼겹 (400g)', 39000], ['꽃목살 (300g)', 23000], ['차돌박이 (150g)', 15000], ['양념갈비 (250g)', 14000]]"
서울특별시 마포구 서교동 331-13,꽃게나라,Yes,"[['간장게장정식(대)', 38000], ['꽃게탕', 65000], ['닭볶음', 32000], ['삼계탕', 16000], ['양념게장', 29000], ['닭한마리칼국수', 32000], ['묵은지 닭볶음', 37000], ['전복삼계탕', 24000]]"
서울특별시 마포구 서교동 395-23,단디,Yes,"[['차돌묵은지 파스타', 24000], ['냉수육', 24000], ['대패전골', 24000], ['묵은지전골', 24000], ['짜투게티', 10000], ['오겹 깐풍육', 24000], ['갈릭 트러플 감자튀김', 9000], ['마라차돌전골', 25000], ['만두 전골', 19000], ['고기가 더 많은 두부김치', 18000], ['차돌숙주볶음', 20000], ['어묵탕', 17000], ['김치전', 9900], ['참치마요 크래커', 6000], ['아이스홍시', 4000], ['단디 육회', 18000], ['차돌 순두부 파스타', 24000], ['꿀 막걸리 하이볼', 8000], ['짐빔 하이볼 진저/토닉', 7000]]"
서울특별시 마포구 서교동 476-53,해주방,Yes,"[['고등어 덮밥', 12000], ['베이컨 김치 볶음밥', 10000], ['명란 마요 덮밥', 13000], ['떡갈비 덮밥', 16000], ['가지 마라 덮밥', 16000], ['타마고 카츠', 10000], ['마라 오이', 6000], ['떡갈비 롤', 13000], ['두부야 가지 마라', 16000]]"
서울특별시 마포구 서교동 402-14 경일빌딩,쏘시지요,Yes,"[['닭날개튀김', 990], ['오사카쏘시지', 2900], ['닭껍질꼬치', 1500], ['오꼬노미야끼', 9900], ['치킨가라아게', 9000], ['유린기', 9500], ['명란마요구이', 8000], ['야끼소면', 11000], ['소스듬뿍새우튀김', 6500], ['염통꼬치', 5500], ['김치볶음밥', 6900], ['고르곤피자', 12000], ['먹태', 12900], ['나가사키 짬뽕탕', 13000], ['바지락탕', 9900], ['오뎅탕', 10900], ['국물떡볶이', 9900], ['새우튀김우동', 7000], ['생맥주', 1900], ['하이볼/사케하이볼', 4900]]"
서울특별시 마포구 서교동 331-17,육전국밥 홍대점,Yes,"[['소고기육전 (소)', 15000], ['해물파전', 18000], ['치즈해물파전', 20000], ['모둠전', 28000], ['깻잎전', 15000], ['소불고기전골 (2인)', 28000], ['소곱창전골 (중)', 38000], ['소고기국밥정식', 15500], ['육전소고기국밥', 10000], ['소고기국밥', 9000], ['오징어초무침', 20000], ['미소곰탕정식', 16500], ['물막국수정식', 15500], ['비빔막국수정식', 15500], ['함박곰탕', 15000], ['미소곰탕', 10000], ['육전물막국수', 10000], ['육전비빔막국수', 10000], ['육전모둠전골 (중)', 35000], ['소고기완자', 15000], ['육전완자반반', 20000]]"
서울특별시 마포구 서교동 346-33,와따분식 홍대점,Yes,"[['투게더 세트', 12500], ['트리플 세트', 15500], ['콰트로세트 세트', 19500], ['패밀리 세트', 25500], ['라면세트', 8500], ['덮밥세트', 8500], ['우동세트', 10500], ['쫄면세트', 10500], ['와따 돈까스', 7500], ['맵맵떡볶이', 4500], ['맵달떡볶이', 4500], ['순대', 5000], ['삶은계란', 1000], ['부산어묵 (3개)', 3000], ['튀김세트 (소)', 3800], ['돈까스 덮밥', 8000], ['모둠 튀김 덮밥', 8000], ['불제육 덮밥', 8500], ['직화 불고기 덮밥', 8500], ['샐러드김밥', 3800], ['와따계란김밥', 4500]]"
서울특별시 마포구 서교동 363-21,너가술집사장,Yes,"[['김치찌개', 15900], ['매콤크림감바스', 14900], ['꼬치 어묵탕', 13900], ['참치순두부찌개', 14900], ['교자만두', 10900], ['떡갈비', 10900], ['오돌뼈', 14900], ['치킨윙&봉', 14900]]"
서울특별시 마포구 서교동 358-74,한월,Yes,[]
서울특별시 마포구 서교동 401-6 2층,왔쏘 홍대점,Yes,"[['무한리필 흑우 한마리 (성인)', 28900], ['무한리필 흑우 한마리 (초등학생)', 19000], ['무한리필 흑우 한마리 (36개월이상)', 9000]]"
서울특별시 마포구 서교동 400-23,88야키토리,Yes,"[['쯔꾸네', 6000], ['표고쯔꾸네', 5000], ['왕새우', 4500], ['명란가슴살', 3600], ['닭가슴연골', 3500], ['닭껍질', 3500], ['닭근위', 3500], ['부추삼겹', 3500], ['우설숯불구이', 28000], ['소갈비살구이', 20000], ['닭목살구이', 18000], ['왕새우숯불구이', 18000], ['명란숯불구이', 17000], ['참마숯불구이', 10000], ['제주딱새우장', 29000], ['88오코노미야끼', 18000], ['카와폰즈', 15000], ['고구마버터스틱', 12000], ['멘다이사라다', 8000], ['포테이토사라다', 6000]]"
서울특별시 마포구 서교동 411-12,김김포차,Yes,"[['골뱅이(소면)', 16000], ['황도', 11000], ['은행', 11000], ['통골뱅이', 16000], ['과일안주', 20000], ['황태포', 11000], ['쇠고기육포', 10000], ['대구포땅콩', 10000], ['미니족발', 14000], ['무뼈닭발', 14000], ['두부김치', 14000], ['계란말이', 12000], ['소세지볶음찜', 14000], ['부대찌개', 16000], ['어묵탕', 12000], ['후라이드치킨', 15000], ['양념치킨', 16000], ['반반치킨', 16000], ['새우튀김', 13000], ['돈까스', 13000], ['감자튀김', 11000]]"
서울특별시 마포구 서교동 365-17 1층,미쉐,Yes,"[['킹 소프트콘', 1000], ['오리지널 밀크티', 3000], ['생레몬 워터', 1200], ['딸기치즈폼 우롱티', 3800], ['블랙밀크티', 3000], ['흑당 밀크티', 3000], ['치즈폼 우롱티', 3000], ['망고 아이스크림 쉐이크', 2800], ['망고 선데이 아이스크림', 2800], ['오렌지 망고우롱티', 3000], ['치즈폼 블랙티', 3000], ['블랙티', 1200], ['우롱티', 1200], ['치즈폼 밀크티', 3800], ['단팥 밀크티', 3000], ['삼형제 밀크티', 3800]]"
서울특별시 마포구 서교동 347-17,석,Yes,"[['돌짜장(대)', 29800], ['돌짜장(중)', 19800], ['팔보면', 19800], ['탕수육', 17000], ['멘보샤', 9900], ['연태하이볼', 7000]]"
서울특별시 마포구 서교동 407-19,황포25,Yes,"[['오뎅탕', 20000], ['얼큰수제비탕', 21000], ['만두전골', 21000], ['돼지김치찌개', 21000], ['부대찌개', 21000], ['닭도리탕', 25000], ['후라이드치킨(순살)', 21000], ['양념치킨(순살)', 22000], ['파닭(순살)', 22000], ['깐풍치킨', 23000], ['감자튀김', 17000], ['오돌뼈주먹밥', 21000], ['통마늘모래집(소금)', 19000], ['치즈소세지', 19000], ['제육볶음주먹밥', 21000], ['무뼈닭발', 19000], ['두부김치', 19000], ['매콤골뱅이', 21000], ['파전/김치전', 19000], ['도토리묵', 19000], ['오리훈제', 23000]]"
서울특별시 마포구 서교동 355-15 무광빌딩,일편장어,Yes,[]
서울특별시 마포구 서교동 461-1,청운,Yes,"[['짜장면', 6000], ['짬뽕', 7000], ['홍합짬뽕', 8000], ['탕수육 (소)', 16000], ['간짜장', 7000], ['사천짜장', 8000]]"
서울특별시 마포구 서교동 402-4,철인7호,Yes,"[['난리세트', 19900], ['철인3종세트', 19900], ['마라꽃치킨세트(뼈)', 20900], ['정통팩', 14900], ['후라이드 반마리(뼈)', 10000], ['양념친킨 반마리(뼈)', 10500], ['치즈스틱4pc(4p)', 3000], ['시즈닝)양념감자(중)', 3000], ['시즈닝)양념감자(대)', 6000], ['양배추 샐러드', 2000], ['무 추가', 500], ['바삭바삭똥집튀김', 9000], ['크림치즈볼4pc', 3000], ['왕만두튀김3pc', 3000], ['간장치킨 반마리(뼈)', 10500], ['홍갈(칠리마늘)치킨 반마리(뼈)', 10500], ['마라치킨 반마리(뼈)신라면맵기', 10500], ['매운간장치킨 반마리(뼈)', 10500]]"
서울특별시 마포구 서교동 394-13,지하102호 5호점,Yes,"[['차돌박이마늘짬뽕', 22000], ['오늘의 사시미', 37000], ['숯불닭구이', 20000], ['일본식 오뎅탕', 20000], ['매운 해물 국물 떡볶이', 18000], ['차돌박이마늘쌈뽕', 22000], ['스키야키', 22000], ['바지락탕', 18000], ['모듬사시미', 41000], ['연어사시미', 35000], ['참치모듬', 50000], ['갑오징어회', 20000], ['광어세비체', 2000], ['진짜파인애플샤베트', 10000], ['우유튀김', 9000], ['야채튀김', 8000], ['타다끼', 25000], ['닭구이', 20000], ['일본식야끼교자', 18000], ['동문어가라아게', 25000], ['닭껍질', 6000]]"
서울특별시 마포구 서교동 358-34,길상양꼬치,Yes,"[['양꼬치(10개)', 16000], ['양삼겹꼬치(10개)', 16000], ['양갈비살꼬치(10개)', 18000], ['소갈비살꼬치(10개)', 19000], ['양갈비구이(500g)', 45000], ['고급양갈비구이(245g)', 29000], ['마늘꼬치(2개)', 3000], ['모둠꼬치', 38000]]"
서울특별시 마포구 서교동 363-14,무청감자탕 홍대점,Yes,"[['시래기감자탕', None], ['묵은지감자탕', None], ['부대찌개전골', None], ['마라감자탕', None], ['볼케이노뼈구이', None], ['로제뼈찜', None], ['간장뼈찜', None], ['시래기뼈해장국', None], ['묵은지해장국', None], ['육개장', None], ['부대찌개', None], ['뚝배기불고기', None], ['황태탕', None], ['순살시래기해장국', None], ['우렁시래기해장국', None], ['수제떡갈비', None], ['계란말이', None], ['가래떡국물떡볶이', None], ['가래떡로제떡볶이', None], ['반반만두', None]]"
서울특별시 마포구 서교동 358-49,혼가츠,Yes,"[['혼가츠 왕돈까스', 13000], ['생등심 돈까스', 12000], ['버터갈릭감자튀김', 8000], ['생안심 돈까스', 12000], ['치즈 돈까스', 12000]]"
서울특별시 마포구 서교동 442-30 charis 빌딩,한상팔삼 우육미면,Yes,"[['시그니처 우육면', None], ['애호박 고기짬뽕', None]]"
서울특별시 마포구 서교동 468-2,파스토보이 마포점,Yes,"[['그릴드 치킨 스테이크 샐러드', 16900], ['목살 스테이크 샐러드', 16900], ['우삼겹 마라 크림 파스타', 12900], ['그릴드 치킨 크림 파스타', 11900], ['베이컨 까르보나라', 10900], ['해물 크림 파스타', 10900], ['매콤 해물 파스타', 10900], ['해물 올리브 파스타', 10900], ['토마토 미트 파스타', 10900], ['토마토 해물 파스타', 9900], ['베이컨 로제 파스타', 11500], ['해물 로제 파스타', 11500], ['우삼겹 필라프', 11900], ['새우 필라프', 10900], ['목살 필라프', 10900], ['김치 필라프', 10900], ['그릴드 치킨 투움바 파스타', 13900]]"
서울특별시 마포구 서교동 247-85,열정의선창,Yes,"[['💃🏻Dirty dancing * 지지 춤', 15000], ['Rossa*세 가지 장미', 22000], ['Snake tail*뱀꼬리', 20000], [""Calvin's Dawn*칼빈의 새벽"", 20000], ['Long Coca *롱 코카', 20000], ['🧛🏻Bumbe* 펌킨 크러스타', 22000], ['🦩Mingo fizz *밍고 피즈', 15000], ['👑Amaretto Sour *귀족', 15000], ['살치살 타다끼🍖', 20000]]"
서울특별시 마포구 서교동 332-26,숨은꼬치,Yes,"[['양꼬치(10개)', 14000], ['우육면(오리지널/토마토/마라)', 10000]]"
서울특별시 마포구 서교동 334-11,간바레미나상,Yes,"[['와규타다끼', 20000], ['치킨가라아게&웨지감자', 16000], ['토마토홍합스튜', 19000], ['명란마요치즈감자', 17000], ['연어카레구이', 19000], ['깐풍치킨난반', 19000], ['오꼬노미야끼', 16000], ['오뎅나베', 20000], ['비빔진미채고추만두', 17000]]"
서울특별시 마포구 서교동 402-2,힙하디,Yes,"[['힙합', 18000], ['하우스', 18000], ['디스코', 18000]]"
서울특별시 마포구 서교동 399-18,동백상회 합정,Yes,"[['산문어숙회', 38000], ['산문어매콤찜', 38000], ['가리비술찜', 38000], ['가리비회', 32000], ['연포탕', 38000], ['참소라숙회', 32000], ['소라무침', 32000], ['산낙지', 22000], ['알탕', 24000], ['골빔면', 20000], ['비빔삼겹살', 12000], ['오므라이스', 9000], ['시원한황도', 8000], ['설탕토마토', 8000], ['쥐포', 8000], ['치즈스틱', 8000], ['해물라면', 10000], ['치즈감자채전', 15000], ['타코와사비', 10000], ['닭튀김', 18000]]"
서울특별시 마포구 서교동 331-4,우라난바,Yes,"[['오뎅 중접', 8000], ['우삼겹짬뽕탕', 22000], ['곱창전골', 24000], ['조개탕', 21000], ['우동', 7000], ['조니워커블랙', 6500], ['쿠보타만주', 22000], ['세키토바', 11900]]"
서울특별시 마포구 서교동 449-35,제이스피자,,
서울특별시 마포구 서교동 328-22,한솥도시락 홍대서교점,Yes,"[['치킨마요', 3800], ['스팸 김치볶음밥', 4900], ['소불고기 철판볶음밥', 5100], ['핫 치즈 닭갈비 덮밥', 6000], ['왕카레돈까스 덮밥', 6100], ['돈까스도련님', 4900], ['송정식 떡갈비', 6900], ['돈까스 덮밥', 4300], ['새우돈까스 덮밥', 4400], ['마파두부 덮밥', 5000], ['숯불직화구이 덮밥', 6000], ['묵은지 김치찌개', 5000], ['김치 부대찌개', 6100], ['제육볶음 사각도시락', 4700], ['치킨제육', 5000], ['메가 치킨제육', 7800], ['돈치 고기고기', 6100], ['탕수육도련님 고기고기', 6100], ['돈까스도련님 고기고기', 6600], ['해바라기', 10000]]"
서울특별시 마포구 서교동 358-40,현우동 홍대,Yes,"[['카츠동', 12000], ['텐동', 12000], ['카레동', 10000], ['타닌동', 11000], ['카케우동', 8000], ['키츠네우동', 10000], ['키자미우동', 9000], ['타마고토지우동', 11000], ['멘타이코앙카케 타마고토지우동', 14000], ['니꾸우동', 12000], ['텐뿌라우동', 13000], ['카레우동', 10000], ['카츠카레우동', 13000], ['멘타이코가마바타우동', 14000], ['붓카케우동', 8000], ['텐뿌라붓카케우동', 13000], ['토리텐붓카케우동', 12000], ['에비텐모찌우동', 13000], ['텐토지동', 14000], ['치킨가라아게', 5000]]"
서울특별시 마포구 서교동 355-25,육현전 홍대직영점,Yes,"[['21일 숙성 지리산 흑돼지 오겹살', 18000]]"
서울특별시 마포구 서교동 395-178,언덕집,Yes,"[['육사시미(150g)', 21000], ['한우 타다끼(150g)', 22000], ['한우 육회 (200g)', 25000], ['한우(150g)와 산낙지(1미)', 31000], ['한우(100g) + 낙지(2미) 물회', 35000], ['산낙지 탕탕이 (2미)', 21000], ['꼬들목살구이', 19000], ['양념꼬들목살', 20000], ['오겹수육한판', 26000], ['고갈비 (소금)', 18000], ['고갈비 (양념)', 19000], ['막창순대볶음', 20000], ['매콤무뼈닭발', 20000], ['통오징어부추전', 20000], ['미나리김치전', 19000], ['해물전골', 36000], ['수육순대술국', 27000], ['조개탕', 19000], ['전복 닭한마리 백숙', 26000], ['순두부대찌개', 19000], ['오뎅탕', 19000]]"
서울특별시 마포구 서교동 487,무무,,
서울특별시 마포구 서교동 346-40,블랭크,Yes,"[['차돌파스타', 18900], ['얼큰해장우동', 9900], ['새우볶음밥', 8900]]"
서울특별시 마포구 서교동 332-6,우물집,Yes,"[['한우차돌박이', 12000], ['갓김치볶음밥', 6000], ['고사리표고솥밥', 7000], ['곤드레 토마토 바질 솥밥', 7000], ['한우 차돌박이 삼합 (M)', 52000], ['한우 차돌박이 콩나물 불고기 (M)', 52000], ['차돌박이 맑은 야채 전골과 솥밥', 29000], ['우삼겹 맑은 야채 전골과 솥밥', 24000]]"
서울특별시 마포구 서교동 332-27,박서교숙성회,Yes,"[['숙성회(소)', 35000], ['새우튀김', 14000], ['문어숙회', 15000], ['오징어숙회', 15000], ['태국고로케', 20000], ['꽃게라면', 8000]]"
서울특별시 마포구 서교동 484-4,한본새 서교,Yes,[]
서울특별시 마포구 서교동 362-2,대표분식,,
서울특별시 마포구 서교동 335-4,공간비틀즈,,
서울특별시 마포구 서교동 325-13,한량,Yes,"[['한량삼겹살', 14000], ['한량꽃목살', 14000], ['한량한접시', 33000], ['두툼벌집껍데기', 8000], ['쫄깃가브리살', 17000], ['눈꽃항정살', 18000], ['차돌된장찌개', 5000], ['고기김치찌개', 5000], ['꽃게해장라면', 6000], ['냉면', 6000], ['버터간장계란밥(1인)', 3500]]"
서울특별시 마포구 서교동 401-4,오하이요,Yes,"[['토리 모리아와세', 18900], ['중독 나폴리탄', 14900], ['점보 가라아게', 14900], ['점보 가라아게(핫 양념)', 15900], ['점보 가라아게(치킨난반)', 15900], ['차슈 돈코츠 나베 (매운맛)', 18900], ['우삼겹 스키야키 나베', 17900], ['간사이 야끼소바', 14900], ['해산물 테판 매콤우동', 14900], ['바지락 술찜', 16900], ['오하이요 시그니처 플래터', 23900]]"
서울특별시 마포구 서교동 407-12,장모님 부대찌개,Yes,"[['장모님부대찌개스폐셜 2인', 25000], ['장모님부대찌개 스페셜 3인', 34000], ['장모님부대찌개 스페셜 4인', 43000], ['우삼겹부대찌개 스페셜 2인', 32000], ['우삼겹부대찌개 스페셜 3인', 42000], ['우삼겹부대찌개 스페셜 4인', 50000], ['베이컨 부대찌개 스페셜 2인', 29000], ['베이컨 부대찌개 스페셜 3인', 39000], ['베이컨 부대찌개 스페셜 4인', 48000], ['장모님 부대찌개', 9000], ['계란말이', 7000]]"
서울특별시 마포구 서교동 347-12,술쑤시개,Yes,"[['마늘치킨', 25000], ['크림치킨', 23000], ['꼬치어묵탕', 20000], ['토마토 해장 파스탕', 23000], ['매콤 알리오올리오', 18000], ['훈제족발', 18000], ['차돌숙주볶음', 18000], ['두부김치', 18000], ['마라 마파두부', 18000], ['해쉬감튀 & 소세지', 16000], ['타코야끼', 9000]]"
서울특별시 마포구 서교동 358-96 포도빌딩,홍대물갈비 홍대본점,Yes,"[['홍대물갈비(1인)', 16000], ['로제물갈비(1인)', 16000], ['홍대소불고기(1인)', 16000], ['볶음밥', 3000], ['고기튀김', 12900], ['치즈카츠', 12900], ['등심카츠', 10900], ['버터갈릭감자', 5500]]"
서울특별시 마포구 서교동 486,모모유부,,
서울특별시 마포구 서교동 355-32,상구네솥뚜껑삼겹살 홍대점,Yes,"[['시래기+문경약돌돼지생삼겹/목살 (100g)', 8900], ['미나리+문경약돌돼지생삼겹/목살 (100g)', 8900], ['국내산 1+등급 문경약돌돼지 생삼겹살 (100g)', 7900], ['국내산 1+등급 문경약돌돼지 생목살 (100g)', 7900], ['항정살(100g)', 8900], ['가브리살 (100g)', 8900], ['늑간살 (100g)', 8900], ['후식 막국수', 5000], ['후식 (물/비빔)냉면', 5000], ['리얼치즈계란찜', 5000], ['청국장이 들어간 된장찌개', 5000], ['문경약돌돼지 김치찌개', 5000], ['솥뚜껑볶음밥', 3000]]"
서울특별시 마포구 서교동 453-12,유알티,Yes,"[['팟타이', 15000], ['빵과버터', 6000], ['햄치즈 크루아상 샌드위치', 10000], ['미트볼 토마토스튜와 사워도우', 16000], ['고사리 들기름 파스타', 20000], ['바질 크림 뇨끼', 18000], ['채소피클', 2000], ['공정무역 드립커피', 5000], ['디카페인 드립커피', 5000], ['하동 무농약 라임에이드', 8000], ['100% 의성 유기농 사과주스', 7500], ['100% 오렌지주스', 6000], ['화덕채소구이와 사워도우', 23000], ['비온뒤맥주', 10000], ['딸기 금귤 리코타 샐러드', 17000], ['화덕 버섯구이와 토종콩 후무스', 24000], ['냉이 오일 파스타', 18000], ['트러플 머쉬룸 크루아상 샌드위치', 10000], ['햄치즈 치아바타 샌드위치', 13000], ['트러플 머쉬룸 치아바타샌드위치', 13000]]"
서울특별시 마포구 서교동 400-24,신서울전,Yes,"[['서울보쌈', 28000], ['새둥지전', 16000], ['새우둥지전', 21000], ['전찌개', 26000], ['소고기탕면', 28000], ['모듬전', 25000], ['미나리새우전', 25000], ['통새우김치전', 20000], ['육전', 19000], ['소곱창전골', 28000], ['오돌뼈주먹밥', 21000], ['순살옛날간장치킨', 16000], ['낙지볶음', 25000], ['순살순대볶음', 26000], ['신선로망고빙수', 28000]]"
