지번주소,사업장명,Processed,메뉴
서울특별시 마포구 서교동 399-9,라운지목화 합정관,Yes,"[['아보카도크림새우', 19900], ['깐풍기', 18500], ['사천가지튀김', 19000], ['칠리새우', 19000], ['깐풍새우', 19500], ['새콤바삭유린기', 19000], ['멘보샤', 16000], ['마라크림면', 18500], ['고추잡채', 18500], ['진마파두부&꽃빵', 18500], ['산동식마늘똥볶음', 18000], ['해물짬뽕탕', 18500], ['우삼겹마라탕', 18500], ['찹쌀누룽지달걀탕', 18500], ['홍콩식 오이무침', 9500], ['중화 옥수수전', 12000], ['닭껍질교자', 11000], ['매콤푸주튀김', 11000], ['우유튀김', 11000], ['새우짜조', 11000]]"
서울특별시 마포구 서교동 378-10 H 스퀘어,탭샵바 합정점,Yes,"[['루꼴라 치즈 떡볶이', 9900]]"
서울특별시 마포구 서교동 333-37,연남골목냉면,Yes,"[['명태회냉면', 10000], ['물냉면', 8000], ['비빔냉면', 8000], ['돈가스', 9000], ['반반이(등심+치즈)', 10000], ['비빔밥', 8000], ['튀김만두', 5000], ['찐만두', 5000], ['갈비만두', 5000], ['메밀전병', 7000]]"
서울특별시 마포구 서교동 396-27,유아하,Yes,"[['유아하 할머니의 훠궈', 32900], ['우삼겹 후추탕', 25000], ['튀김 동파육', 29000], ['딴화 마라샹궈', 27000], ['아하챠오멘', 22000], ['마라두부', 15000], ['3가지 작은안주', 15000], ['손녀의 최애안주', 15000], ['오이 때려만듦', 8000], ['수제물만두', 12000], ['할머니의 단골메뉴', 12000], ['타이완 새우볶음밥', 11000], ['땅콩아이스크림', 5000]]"
서울특별시 마포구 서교동 347-14,증증일상,Yes,"[['꽌탕바오(육즙 샤오롱바오)', 7300], ['성젠바오(육즙 군만두)', 7000], ['소고기샤오롱바오', 7300]]"
서울특별시 마포구 서교동 368-12 S368빌딩,낙경,Yes,"[['살치플레이트', 38000], ['문어 플레이트', 37000], ['육사시미&연어', 35000], ['미나리해물탕', 32000], ['밀푀유나베', 28000], ['바질크림파스타', 22000], ['어향가지', 25000], ['레몬크림새우', 28000], ['유린기', 26000], ['된장항정볶음', 24000], ['육회냉파스타', 23000], ['수육전골', 30000], ['돈마호크 김치찜', 30000], ['레몬크림치킨', 27000], ['해산물마라볶음', 25000], ['육전&알배추무침', 24000], ['차돌 들깨볶음 (고양이귀면)', 24000], ['쯔란삼겹튀김', 30000], ['해물야끼소바', 25000]]"
서울특별시 마포구 서교동 342-3,왕소야,Yes,"[['삼선간짜장면', None], ['해물짬뽕', None], ['짬뽕밥', None], ['잡채밥', None], ['마파두부밥', None], ['마라두부밥', None], ['마파두부', None], ['짬뽕탕', None], ['깐풍기', None], ['유린기', None], ['오향장육', None], ['양장피', None], ['깐풍새우', None], ['칠리새우', None], ['동파육', None], ['고추잡채꽃빵', None], ['삼선간짜장', None], ['마라우육탕면', None], ['꿔바로우', None], ['크림중새우', None], ['난자완스', None], ['', None], ['', None], ['', None], ['', None], ['', None], ['', None], ['', None], ['', None], ['', None], ['', None], ['', None], ['', None], ['', None], ['', None], ['', None], ['', None]]"
서울특별시 마포구 서교동 355-25,잇스시,Yes,"[['스시 플레이트', 24000], ['포테이토 롤', 17000], ['로즈 롤', 17000], ['레인보우 롤', 15000], ['트러플 롤', 28000], ['크리스피 롤', 15000], ['파이어워크', 17000]]"
서울특별시 마포구 서교동 408-18 스페이스빌딩,호박꽃 홍대점,Yes,"[['호박꽃 모리아와세 (3-4인)', 108000], ['호박꽃 모리아와세 (2-3인)', 73000], ['부채끝살 (100g)', 22000], ['꽃갈비 (100g)', 22000], ['갈비본살 (100g)', 20000], ['토시살 (100g)', 19000], ['부채살 (100g)', 20000], ['안창살 (100g)', 21000], ['갈비살 (100g)', 19000], ['우설 (100g)', 21000], ['소꼬리 (100g)', 21000], ['닭목살 (120g)', 10000]]"
서울특별시 마포구 서교동 399-23 1층,해몽 마포점,Yes,"[['등갈비', 18000], ['목살김치찌개', 7000], ['냄비비빔밥', 5000], ['라면', 4000]]"
