소재지면적,지번주소,도로명주소,사업장명,업태구분명,좌표정보(X),좌표정보(Y)
42.75,서울특별시 마포구 합정동 388-17,"서울특별시 마포구 월드컵로3길 31-26, 1층 (합정동)",논베,일식,192052.184531285,449739.984510219
742.90,서울특별시 마포구 합정동 396-2,"서울특별시 마포구 포은로 7, 1,2층 (합정동)",슬로우야드 바베큐,경양식,191934.476231808,449626.650125669
147.60,서울특별시 마포구 합정동 392-3번지 2층 ,"서울특별시 마포구 양화로1길 21, 2층 (합정동)",합정옥,한식,192007.9239073,449700.540369583
141.02,서울특별시 마포구 합정동 414-16 2층,"서울특별시 마포구 양화로6길 14, 2층 (합정동)",정육도,한식,192406.861367157,449660.858716018
61.20,서울특별시 마포구 합정동 55-4,"서울특별시 마포구 토정로4길 25, 지1층 (합정동)",기록보관소,경양식,192403.053458088,449143.773896866
67.47,서울특별시 마포구 합정동 433-5번지 2층 ,"서울특별시 마포구 동교로 42-1, 2층 (합정동)",블루스 하우스,호프/통닭,191715.573846636,450038.944497758
46.25,서울특별시 마포구 합정동 388-10번지 ,"서울특별시 마포구 월드컵로3길 31-8, 지상1층 (합정동)",오쿠보이자카야,일식,192056.110506184,449755.735416763
74.82,서울특별시 마포구 합정동 411-2,"서울특별시 마포구 양화로6길 78, 1층 (합정동)",금성회관 합정본점,한식,192717.511134121,449568.162184162
36.20,서울특별시 마포구 합정동 411-14,"서울특별시 마포구 독막로 43-1, 1층 101호 (합정동)",참바른김밥,한식,192709.06878205,449542.700875665
52.04,서울특별시 마포구 합정동 473 마포 한강 2차 푸르지오,"서울특별시 마포구 월드컵로3길 14, 2층 218호 (합정동, 마포 한강 2차 푸르지오)",텍사스바베큐레스토랑,패밀리레스트랑,192142.27136309,449868.964586499
55.44,서울특별시 마포구 합정동 449-8,"서울특별시 마포구 동교로 22, 2층 (합정동)",아뜰리에 르 플리,경양식,191522.81087196,449962.883229627
60.00,서울특별시 마포구 합정동 449-8,"서울특별시 마포구 동교로 22, 1층 (합정동)",원당국수잘하는집,분식,191522.81087196,449962.883229627
77.42,서울특별시 마포구 합정동 434-22 브랜토리움,"서울특별시 마포구 포은로2길 13, 브랜토리움 1층 (합정동)",옆구르기,경양식,191772.539542434,449937.933622258
20.10,서울특별시 마포구 합정동 428-27,"서울특별시 마포구 양화로3길 89, 1층 일부호 (합정동)",냠냠푸드,분식,192025.049529273,450073.323510909
64.00,서울특별시 마포구 합정동 364-28,"서울특별시 마포구 독막로 14, 지하층 (합정동)",교집합,라이브카페,192412.385130041,449581.593120684
94.77,서울특별시 마포구 합정동 412-26,"서울특별시 마포구 양화로6길 50, 1층 (합정동)",로우샹로우,중국식,192593.825356514,449601.452640198
54.26,서울특별시 마포구 합정동 433-8,"서울특별시 마포구 동교로 44-1, 2층 일부호 (합정동)",어라운드그린,한식,191737.886907146,450048.657746602
61.20,서울특별시 마포구 합정동 411-14,"서울특별시 마포구 독막로 43-1, 2층 (합정동)",브하브,경양식,192709.06878205,449542.700875665
80.68,서울특별시 마포구 합정동 392-13,"서울특별시 마포구 양화로1길 25, 1층 (합정동)",넉탐,한식,192009.658528805,449733.226426485
244.16,서울특별시 마포구 합정동 426-5,"서울특별시 마포구 월드컵로 33, 1층 (합정동)",풍류각,한식,192150.257152189,450011.542359184
898.05,서울특별시 마포구 합정동 472 마포 한강 푸르지오 ,"서울특별시 마포구 월드컵로1길 14, 지하2층 B202호 (합정동, 마포 한강 푸르지오)",빕스 합정역점,패밀리레스트랑,192171.23539752,449751.486972783
36.00,서울특별시 마포구 합정동 474번지 합정한강아파트 ,"서울특별시 마포구 포은로 34, 1층 106호 (합정동, 합정한강아파트)",망원동즉석떡볶이,분식,191787.59750425,449847.14222282
126.83,서울특별시 마포구 합정동 472번지 마포 한강 푸르지오 ,"서울특별시 마포구 월드컵로1길 14, B121호 (합정동, 마포 한강 푸르지오)",마부자생삼겹살,한식,192171.23539752,449751.486972783
82.66,서울특별시 마포구 합정동 363-19 ,"서울특별시 마포구 독막로6길 8, 1층 (합정동)",마담 풍천,일식,192630.146817412,449489.298453705
18.00,서울특별시 마포구 합정동 438-2 ,"서울특별시 마포구 포은로 39, 1층 1호 (합정동)",신공주떡볶이,분식,191720.125751393,449866.173534457
84.51,서울특별시 마포구 합정동 367-40 Hygge 101 ,"서울특별시 마포구 토정로3안길 33, Hygge 101 1층 (합정동)",멕시코다이너,"외국음식전문점(인도,태국등)",192501.914126109,449310.725632908
205.33,서울특별시 마포구 합정동 357-7번지 ,"서울특별시 마포구 토정로5길 12 (합정동, 1층)",무대륙,경양식,192723.838327775,449304.864311421
26.00,서울특별시 마포구 합정동 414-20번지 ,"서울특별시 마포구 독막로 11 (합정동, 1층)",김가네김밥,일식,192399.621214988,449625.56688646
60.00,서울특별시 마포구 합정동 387-1번지 1층일부 ,"서울특별시 마포구 월드컵로3길 27 (합정동, 1층일부)",둥둥막창구이,한식,192086.840757019,449779.633848041
