id,photo_url,road_address,name,size,latitude,longitude,phone,business_hours,review_count,facilities,parking,very_good,seat_info,menu,category
1,"['https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231124_220%2F1700802290423elCeM_JPEG%2FKakaoTalk_20231123_102453553_10.jpg', 'https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231124_281%2F1700802290591FsTAe_JPEG%2FKakaoTalk_20231123_102453553_09.jpg', 'https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231124_13%2F1700802276447hilW5_JPEG%2FKakaoTalk_20231026_160338217_03.jpg']","서울특별시 마포구 양화로6길 57-12, 1층 (서교동)",라운지목화 합정관,63.02,192669.3832,449648.5161,0507-1469-7338,화: 17:00 - 02:00; 수: 17:00 - 02:00; 목: 17:00 - 02:00; 금: 17:00 - 02:00; 토: 17:00 - 02:00; 일: 17:00 - 02:00; 월: 정기휴무 (매주 월요일),291,"['단체 이용 가능', '예약', '무선 인터넷']",주차 불가,"['음식이 맛있어요', '인테리어가 멋져요', '친절해요', '대화하기 좋아요']","['카운터석', '입식', '바테이블']","[[""아보카도크림새우"", 19900], [""깐풍기"", 18500], [""사천가지튀김"", 19000], [""칠리새우"", 19000], [""깐풍새우"", 19500], [""새콤바삭유린기"", 19000], [""멘보샤"", 16000], [""마라크림면"", 18500], [""고추잡채"", 18500], [""진마파두부&꽃빵"", 18500], [""산동식마늘똥볶음"", 18000], [""해물짬뽕탕"", 18500], [""우삼겹마라탕"", 18500], [""찹쌀누룽지달걀탕"", 18500], [""홍콩식 오이무침"", 9500], [""중화 옥수수전"", 12000], [""닭껍질교자"", 11000], [""매콤푸주튀김"", 11000], [""우유튀김"", 11000], [""새우짜조"", 11000]]",중식
2,"['https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250116_234%2F1736993517599R0Oqc_JPEG%2F%25B1%25D7%25B8%25B22.jpg', 'https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250116_254%2F1736993510471IkD4D_JPEG%2F%25B1%25D7%25B8%25B21.jpg', 'https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250116_205%2F1736993519045YFwkP_JPEG%2F%25B1%25D7%25B8%25B27.jpg']","서울특별시 마포구 양화로 81, H 스퀘어 102호,103호,104호,105호 (서교동)",탭샵바 합정점,610.52,192565.8569,449977.7782,0507-1467-0765,화: 11:00 - 24:00; 수: 11:00 - 24:00; 목: 11:00 - 24:00; 금: 11:00 - 24:00; 토: 11:00 - 24:00; 일: 11:00 - 24:00; 월: 11:00 - 24:00,131,"['와인 페어링', '와인 페어링', '포장', '단체 이용 가능', '배달', '예약', '무선 인터넷', '장애인 휠체어 이용가능', '장애인 휠체어 이용가능']",무료 주차 가능,"['술이 다양해요', '음식이 맛있어요', '인테리어가 멋져요', '음악이 좋아요']","['룸', '단체석', '카운터석', '테라스', '좌식', '1인석', '연인석']","[[""루꼴라 치즈 떡볶이"", 9900]]",한식
3,"['https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyNDA4MDJfNjQg%2FMDAxNzIyNTc2NzIxNjY2.rAoxExJDEAvK57hfrFJYgsx_0KlWgddumQyv0VFjejEg.vZ21RwySpcZuAlXc93DmBS-Zv1qaoHAWXeZdrz28bBUg.JPEG%2F74DE4247-ECBA-4212-AE6E-4A33D07E8467.jpeg', 'https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyNDA3MDNfMTU0%2FMDAxNzIwMDEwODI5MTI5.S6C-XWl18kpsplyKO941yfotWoloSW9aBv2aNdXdFQkg.0QIPsOks-BN_IujLi8tSVAIt-yp8ZTT1XbY-qsPa8NYg.JPEG%2F4C253AEF-1984-42E6-85AE-D03C9041F0E1.jpeg', 'https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMzA1MDlfMTAz%2FMDAxNjgzNjI3NTM3MjM2.TUWeNCfNNzn0VmPZEqGEmwEGDdqqMcUxz0Fgmlagxssg.S3CMcxsM5IfTDKMNwbwTjrI8YxRvambtIy4RWU1iTkEg.JPEG%2F6DFE5E22-4399-4455-9D07-AC5A8638803B.jpeg']","서울특별시 마포구 와우산로29마길 7-8, 지1층 우측호 (서교동)",연남골목냉면,48.37,193472.1057,450345.4305,,,38,[],,"['음식이 맛있어요', '재료가 신선해요', '양이 많아요', '혼밥하기 좋아요']",[],"[[""명태회냉면"", 10000], [""물냉면"", 8000], [""비빔냉면"", 8000], [""돈가스"", 9000], [""반반이(등심+치즈)"", 10000], [""비빔밥"", 8000], [""튀김만두"", 5000], [""찐만두"", 5000], [""갈비만두"", 5000], [""메밀전병"", 7000]]",한식
4,"['https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250201_297%2F1738420225153apkuS_JPEG%2F%25B9%25DA%25C0%25E7%25C8%25AF_%25C0%25AF%25BE%25C6%25C7%25CF_10.jpeg', 'https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20241219_94%2F1734547830439TOO1H_JPEG%2FIMG_9919.jpeg', 'https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20241219_251%2F1734548117776Ppfnt_JPEG%2FIMG_0145.jpeg']","서울특별시 마포구 독막로3길 24-10, 지1층 A호 (서교동)",유아하,54.0,192626.3225,449645.0116,0507-1432-7841,수: 17:00 - 24:00; 목: 17:00 - 24:00; 금: 17:00 - 02:00; 토: 17:00 - 02:00; 일: 17:00 - 24:00; 월: 17:00 - 24:00,60,"['콜키지 가능', '생일 혜택', '단체 이용 가능']",주차 불가,"['음식이 맛있어요', '인테리어가 멋져요', '특별한 메뉴가 있어요', '친절해요']","['바테이블', '1인석', '테라스', '연인석', '카운터석', '좌식', '단체석']","[[""유아하 할머니의 훠궈"", 32900], [""우삼겹 후추탕"", 25000], [""튀김 동파육"", 29000], [""딴화 마라샹궈"", 27000], [""아하챠오멘"", 22000], [""마라두부"", 15000], [""3가지 작은안주"", 15000], [""손녀의 최애안주"", 15000], [""오이 때려만듦"", 8000], [""수제물만두"", 12000], [""할머니의 단골메뉴"", 12000], [""타이완 새우볶음밥"", 11000], [""땅콩아이스크림"", 5000]]",중식
5,"['https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230914_65%2F1694676554936lKc3d_JPEG%2F%25E3%25F8LOGO.jpg', 'https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230904_279%2F16937539635651n3fq_JPEG%2Fd154b09e794fa0b3c2acc8f7cb83ea6.jpg', 'https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230903_253%2F1693752599771gn4Qf_JPEG%2F%25C5%25C1%25B9%25D9%25BF%25C0.jpg']","서울특별시 마포구 와우산로27길 62, 2층 (서교동)",증증일상,93.82,193340.6966,450339.4518,02-333-5888,화: 11:00 - 22:30; 수: 정기휴무 (매주 수요일); 목: 11:00 - 22:30; 금: 11:00 - 22:30; 토: 11:00 - 22:30; 일: 11:00 - 22:30; 월: 11:00 - 22:30,476,"['포장', '배달', '무선 인터넷', '유아의자', '예약']",주차 불가,"['음식이 맛있어요', '친절해요', '특별한 메뉴가 있어요', '가성비가 좋아요']",[],"[[""꽌탕바오(육즙 샤오롱바오)"", 7300], [""성젠바오(육즙 군만두)"", 7000], [""소고기샤오롱바오"", 7300]]",중식
6,"['https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230505_153%2F16832839621517ke8m_JPEG%2F59CE8CC2-A2B3-4263-9279-BECFEA27C73A.jpeg', 'https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230505_237%2F1683283964294QMhFs_JPEG%2FB5DF3619-324B-48C6-B18E-81EDDC69B0DD.jpeg', 'https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231127_173%2F1701012671116rxBn2_JPEG%2FAC413E37-DC52-47B8-9ABB-B20848A40F42.jpeg']","서울특별시 마포구 잔다리로2길 7, S368빌딩 1층 (서교동)",낙경,102.25,192894.0848,449922.7996,0507-1367-5784,화: 17:00 - 02:30; 수: 17:00 - 02:30; 목: 17:00 - 02:30; 금: 17:00 - 02:30; 토: 17:00 - 02:30; 일: 17:00 - 02:30; 월: 17:00 - 02:30,312,"['콜키지 가능', '생일 혜택', '예약', '무선 인터넷', '단체 이용 가능', '노키즈존']",주차 불가,"['음식이 맛있어요', '친절해요', '인테리어가 멋져요', '특별한 메뉴가 있어요']",[],"[[""살치플레이트"", 38000], [""문어 플레이트"", 37000], [""육사시미&연어"", 35000], [""미나리해물탕"", 32000], [""밀푀유나베"", 28000], [""바질크림파스타"", 22000], [""어향가지"", 25000], [""레몬크림새우"", 28000], [""유린기"", 26000], [""된장항정볶음"", 24000], [""육회냉파스타"", 23000], [""수육전골"", 30000], [""돈마호크 김치찜"", 30000], [""레몬크림치킨"", 27000], [""해산물마라볶음"", 25000], [""육전&알배추무침"", 24000], [""차돌 들깨볶음 (고양이귀면)"", 24000], [""쯔란삼겹튀김"", 30000], [""해물야끼소바"", 25000]]",한식
7,"['https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230720_74%2F16897975897551kqt2_JPEG%2FLCH_0165.jpg', 'https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230720_41%2F16897976681652bEXe_JPEG%2FLCH_0104.jpg', 'https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250213_265%2F1739379681011g8ytm_JPEG%2F1000001854.jpg']","서울특별시 마포구 와우산로25길 13, 2층 (서교동)",왕소야,90.0,193376.5934,450193.4151,0507-1369-8093,,552,"['포장', '무선 인터넷', '예약', '단체 이용 가능']",무료 주차 가능,"['음식이 맛있어요', '재료가 신선해요', '친절해요', '특별한 메뉴가 있어요']",['단체석'],"[[""삼선간짜장면"", null], [""해물짬뽕"", null], [""짬뽕밥"", null], [""잡채밥"", null], [""마파두부밥"", null], [""마라두부밥"", null], [""마파두부"", null], [""짬뽕탕"", null], [""깐풍기"", null], [""유린기"", null], [""오향장육"", null], [""양장피"", null], [""깐풍새우"", null], [""칠리새우"", null], [""동파육"", null], [""고추잡채꽃빵"", null], [""삼선간짜장"", null], [""마라우육탕면"", null], [""꿔바로우"", null], [""크림중새우"", null], [""난자완스"", null], ["""", null], ["""", null], ["""", null], ["""", null], ["""", null], ["""", null], ["""", null], ["""", null], ["""", null], ["""", null], ["""", null], ["""", null], ["""", null], ["""", null], ["""", null], ["""", null]]",중식
8,"['https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240724_83%2F1721780159291PXxJH_JPEG%2FA359301E-CE06-4C2C-81DD-6865CA6F8321.jpeg', 'https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230809_42%2F1691584775401qM4Rb_JPEG%2F1691584690837.jpg', 'https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240808_79%2F1723095912559N0C6a_JPEG%2FD719DDFA-7A13-4C5E-BEB2-E45FF6DC34EE.jpeg']","서울특별시 마포구 홍익로5안길 24, 1층 101호 (서교동)",잇스시,76.38,192988.885,450160.268,0507-1447-8882,화: 11:30 - 24:00; 수: 11:30 - 24:00; 목: 11:30 - 24:00; 금: 11:30 - 24:00; 토: 11:30 - 24:00; 일: 11:30 - 24:00; 월: 정기휴무 (매주 월요일),763,"['콜키지 가능', '비건 메뉴', '포장', '배달', '예약', '무선 인터넷', '단체 이용 가능']",유료 주차 가능,"['음식이 맛있어요', '재료가 신선해요', '친절해요', '인테리어가 멋져요']","['단체석', '카운터석', '좌식', '바테이블', '연인석', '1인석']","[[""스시 플레이트"", 24000], [""포테이토 롤"", 17000], [""로즈 롤"", 17000], [""레인보우 롤"", 15000], [""트러플 롤"", 28000], [""크리스피 롤"", 15000], [""파이어워크"", 17000]]",일식
9,"['https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20241025_40%2F1729841923422SlGwk_JPEG%2FIMG_3720.jpeg', 'https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20241025_272%2F1729841923898Idbaq_JPEG%2FIMG_3707.jpeg', 'https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20241025_278%2F1729841923810i4RAU_JPEG%2FIMG_3706.jpeg']","서울특별시 마포구 와우산로17길 19-24, 스페이스빌딩 1층 (서교동)",호박꽃 홍대점,86.56,192978.9548,449666.6206,0507-1332-1694,수: 15:00 - 23:00; 목: 15:00 - 23:00; 금: 15:00 - 24:00; 토: 15:00 - 24:00; 일: 15:00 - 23:00; 월: 정기휴무 (매주 월요일); 화: 15:00 - 23:00,269,"['콜키지 가능', '생일 혜택', '단체 이용 가능', '무선 인터넷', '예약']",주차 불가,"['음식이 맛있어요', '재료가 신선해요', '친절해요', '인테리어가 멋져요']","['카운터석', '좌식', '바테이블', '1인석', '단체석']","[[""호박꽃 모리아와세 (3-4인)"", 108000], [""호박꽃 모리아와세 (2-3인)"", 73000], [""부채끝살 (100g)"", 22000], [""꽃갈비 (100g)"", 22000], [""갈비본살 (100g)"", 20000], [""토시살 (100g)"", 19000], [""부채살 (100g)"", 20000], [""안창살 (100g)"", 21000], [""갈비살 (100g)"", 19000], [""우설 (100g)"", 21000], [""소꼬리 (100g)"", 21000], [""닭목살 (120g)"", 10000]]",한식
10,"['https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20241026_50%2F1729910557799MNOb8_JPEG%2F1000035836.jpg', 'https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20241212_129%2F1733987463648QoaH9_JPEG%2FIMG_3406.JPG', 'https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20241212_291%2F1733987464067Fuz4T_JPEG%2FIMG_3728.JPG']","서울특별시 마포구 양화로6길 65, 1층 (서교동)",해몽 마포점,90.0,192667.4817,449614.5323,0507-1386-1922,화: 17:00 - 23:00; 수: 17:00 - 23:00; 목: 17:00 - 23:00; 금: 17:00 - 23:00; 토: 17:00 - 23:00; 일: 정기휴무 (매주 일요일); 월: 17:00 - 23:00,188,"['콜키지 가능', '무선 인터넷', '예약', '단체 이용 가능']",주차 불가,"['음식이 맛있어요', '고기 질이 좋아요', '친절해요', '직접 잘 구워줘요']","['단체석', '입식']","[[""등갈비"", 18000], [""목살김치찌개"", 7000], [""냄비비빔밥"", 5000], [""라면"", 4000]]",한식
