Restaurant,Menu
프레퍼스다이어트푸드 홍대직영점,"[['곰탕메뉴1', 17900], ['곰탕메뉴2', 9900], ['곰탕메뉴3', 11900], ['곰탕메뉴4', 8900]]"
비밥,"[['차돌박이비빔밥', 9500], ['소불고기비빔밥(소)', 7000], ['소불고기비빔밥(대)', 9000], ['두부야채비빔밥(소)', 6500], ['두부야채비빔밥(대)', 8000], ['비밥비빔밥(소)', 6000], ['비밥비빔밥(대)', 7500], ['두부(채식)비빔밥+김치전', 7500]]"
꼬치록록,"[['매운 삼겹 라면', 5000], ['록록 마니스 떡볶이', 8900], ['삼겹 라면세트', 7000]]"
금별맥주 홍대입구점,[]
모모유부 홍대,"[['모모의 네가지픽 SET (4PCS)', None], ['모모의 다함께 SET (8PCS)', None], ['모모의 피크닉 SET (6PCS)', None], ['모모의 호사생활 SET (4PCS)', None], [""담백크래미 '뚱'유부초밥"", None], [""스팸어니언 '뚱'유부초밥"", None], [""구운연어 '뚱'유부초밥"", None], [""슈페리어 생연어 '뚱'유부초밥"", None], [""참치마요 '뚱'유부초밥"", None], [""스크램블에그 '뚱'유부초밥"", None], [""일품업진살 '뚱'유부초밥"", None], [""톡톡날치알 '뚱'유부초밥"", None], [""스리라차 새우 '뚱'유부초밥"", None], [""타코와사비 '뚱'유부초밥"", None], [""베이컨김치 '뚱'유부초밥"", None], [""숯불닭다리 '뚱'유부초밥"", None], [""찐육회 '뚱'유부초밥"", None], [""토핑없는 기본 '뚱'유부초밥 (2pcs)"", None], ['유부사누끼우동', None], ['전통 식혜 (ICE) & 단호박 식혜 (ICE)', None]]"
장수멸치국수,"[['멸치국수', 7000], ['비빔국수', 8000], ['냉모밀', 9000], ['비빔모밀', 9000], ['열무국수 (계절메뉴)', 8000], ['콩국수 (계절메뉴)', 10000], ['떡만두국 (계절메뉴)', 9000]]"
시골순대,"[['막창순대(대)', 30000], ['오소리한접시', 15000], ['술국', 20000], ['순대전골', 35000], ['순대모듬', 35000], ['머리고기', 15000], ['순대국밥', 9000], ['돼지국밥', 9000], ['오소리국밥', 9000], ['순대만국밥', 9000], ['국밥 특', 11000]]"
주문포차,"[['돼지듬뿍두부찌개', 20000], ['버터갈릭쉬림프', 17000], ['한통스팸찌개', 20000], ['케이준치킨로제파스타', 17000]]"
항방양육관 홍대점,"[['양등심갈비 (1인분)', 28000], ['양갈비살 (1인분)', 16000], ['양꼬치 (1인분)', 14000], ['소갈비살', 20000]]"
노라바라룸포차,"[['순살치킨', 19000], ['버팔로윙스틱', 20000], ['쥐포튀김+알새우칩', 19000], ['마늘간장치킨', 20000], ['볶음탕수육', 20000]]"
